"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-1.12,0.13,0.37,0.31,0.34,NA,-0.35,-0.74,0.24,0.25,NA,NA,NA,-0.47,NA,NA,NA
-0.97,0.01,0.14,0.13,0.15,NA,-0.27,-0.39,0.13,0.03,NA,-0.41,NA,-0.93,NA,NA,NA
-1,0.14,0.28,0.26,0.26,NA,-0.44,-0.67,0.21,-0.26,NA,NA,NA,0.16,NA,NA,NA
-1.1,0.01,0.23,0.22,0.16,NA,-0.35,-0.51,0.1,-0.11,NA,-0.25,NA,-0.12,NA,NA,NA
-0.97,-0.04,0.32,0.33,0.22,NA,-0.24,-0.55,0.14,0.02,NA,NA,NA,-0.13,NA,NA,NA
-0.94,0.06,0.17,0.19,0.16,NA,-0.54,-0.5,0.18,-0.09,NA,NA,NA,-0.54,NA,NA,NA
-0.88,0.03,0.4,0.32,0.29,NA,-0.1,-0.27,0.28,0.28,NA,NA,NA,-0.99,NA,NA,NA
-0.92,0.17,0.25,0.27,0.2,NA,-0.13,-0.28,NA,-0.06,NA,NA,NA,NA,NA,NA,NA
-1.03,0,0.28,0.29,0.2,NA,-0.29,-0.57,0.16,-0.05,NA,0,NA,0.34,NA,NA,1.06
-0.83,-0.02,0.3,0.25,0.2,NA,-0.37,-0.72,0.04,-0.15,NA,-0.53,NA,-0.92,NA,NA,NA
-1.04,0.05,0.31,0.28,0.21,NA,-0.35,-0.4,0.24,0.05,NA,0.66,0.94,1.21,1.21,1.29,1.62
-1,-0.08,0.26,0.29,0.23,NA,-0.16,-0.52,0.15,-0.16,NA,0.02,NA,-0.01,NA,NA,NA
-1.01,-0.09,0.01,0.12,0,NA,-0.53,-0.64,0.17,0.26,NA,NA,NA,NA,NA,NA,NA
-0.97,0.08,0.38,0.25,0.16,NA,-0.62,-0.39,0.18,0.12,NA,0.08,0.44,-0.82,NA,NA,NA
-0.59,-0.03,0.42,0.3,0.18,NA,-0.52,-0.85,0.08,-0.19,NA,-0.21,NA,0.42,NA,NA,0.72
-0.57,0.07,0.29,0.17,0.11,NA,-0.36,-0.36,0.09,-0.16,NA,-0.39,NA,-0.72,NA,NA,NA
-1.07,0.15,0.29,0.33,0.29,NA,-0.34,-0.54,0.07,-0.04,NA,-0.14,NA,0.12,NA,NA,NA
-0.66,-0.01,0.45,0.24,0.16,NA,-0.63,-0.63,-0.17,0.17,NA,-0.06,0.27,-0.9,NA,NA,NA
-1.11,0.08,0.25,0.12,0.16,NA,-0.42,-0.25,0.12,0.25,NA,NA,NA,-1.02,NA,NA,NA
-0.86,0.17,0.33,0.24,0.14,NA,-0.57,-0.64,0,-0.08,NA,-0.52,NA,-0.39,NA,NA,NA
-0.81,0.06,0.33,0.16,0.32,NA,-0.47,-0.71,0.05,0.19,NA,-0.32,NA,-1.04,NA,NA,NA
-0.8,0.12,0.36,0.33,0.25,0.02,-0.36,-0.58,0.18,0.13,NA,0.56,0.89,1.18,1.18,1.3,1.66
-0.82,0.12,0.17,0.24,0.2,-0.03,-0.22,-0.36,0.08,-0.09,0.01,-0.04,0.38,0.31,0.33,0.34,0.8
-0.37,0.22,0.3,0.27,0.24,0.08,-0.23,-0.2,0.29,-0.16,0.16,-0.04,0.35,0.38,0.39,0.49,0.85
-0.43,0.09,0.42,0.36,0.18,NA,-0.68,-0.33,0.17,0.08,NA,0.04,0.45,0.02,NA,NA,NA
-0.84,0.01,0.33,-0.05,-0.03,NA,-0.7,-0.84,-0.06,-0.16,NA,NA,NA,-1.75,NA,NA,NA
-0.89,0.23,0.25,0.27,0.36,NA,-0.37,-0.58,0.32,0.17,NA,0.34,NA,-0.78,NA,NA,NA
-0.95,0.05,0.3,0.23,0.21,NA,-0.09,-0.28,0.25,0.01,NA,NA,NA,0.47,NA,NA,NA
-1.01,0.03,0.22,0.26,0.31,NA,0,-0.45,0.12,-0.01,NA,-0.05,NA,-0.06,NA,NA,NA
-1,-0.39,0,0.11,-0.13,NA,-0.13,-0.87,-0.03,-0.47,NA,-0.38,0.13,-1.3,NA,NA,NA
-0.84,0.13,0.27,0.32,0.22,NA,-0.38,-0.69,0.24,-0.03,NA,-0.52,NA,-1.09,NA,NA,NA
-0.44,0.23,0.55,0.23,0.13,NA,-0.61,-0.92,0.31,-0.06,NA,-0.38,NA,0.05,NA,NA,NA
-0.83,0.06,0.29,0.2,0.24,NA,-0.1,-0.7,0.36,0,NA,NA,NA,NA,NA,NA,NA
-0.89,0.22,0.34,0.27,0.33,NA,-0.48,-0.99,0.31,-0.04,NA,NA,NA,NA,NA,NA,NA
-1.05,-0.17,0.24,0.22,0.17,NA,-0.23,-0.66,0.14,-0.15,NA,NA,NA,-0.35,NA,NA,NA
-1.09,-0.1,-0.04,0.09,0.04,-0.07,-0.09,-0.25,-0.15,-0.48,-0.02,-0.61,0.1,-0.34,NA,NA,0.33
-0.98,0.12,0.37,0.37,0.33,NA,-0.19,-0.66,0.07,-0.23,NA,NA,NA,-0.42,NA,NA,NA
-0.7,0.07,0.3,0.2,0.18,-0.18,-0.51,-0.52,-0.07,-0.18,0.16,-0.2,0.19,-0.07,-0.1,-0.07,0.17
-0.8,-0.11,0.23,0.1,0.15,NA,0.01,-0.39,0.21,0.07,NA,NA,NA,-0.08,NA,NA,NA
-0.85,0.07,0.25,0.24,0.16,-0.03,-0.28,-0.33,0.09,-0.17,0.14,-0.07,0.35,-0.11,0.22,0.28,0.62
-1.03,0.31,0.21,0.36,0.4,NA,-0.44,-0.66,0.4,0.07,NA,NA,NA,-0.64,NA,NA,NA
-0.85,-0.06,0.25,0.22,0.18,NA,-0.53,-0.95,0.12,0.13,NA,-0.25,NA,-1.52,NA,NA,NA
-0.67,0.2,0.33,0.33,0.31,NA,-0.22,-0.5,0.18,-0.08,NA,-0.18,NA,0.17,NA,NA,0.68
-0.94,0.03,0.3,0.23,0.21,NA,-0.24,-0.64,0.12,-0.15,NA,-0.39,NA,-0.16,NA,NA,NA
NA,0.12,NA,0.42,0.38,NA,-0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.54,0.04,0.35,0.16,0.24,0.02,-0.27,-0.21,0.14,0.14,0.68,-0.31,0.17,-0.69,NA,NA,-0.06
-0.87,0.04,0.43,0.36,0.25,NA,-0.26,-0.7,0.19,-0.16,NA,0.06,NA,-0.56,NA,NA,NA
-0.69,0.16,0.37,0.33,0.27,NA,-0.28,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA
-0.64,0.17,0.33,0.26,0.24,NA,-0.02,-0.19,0.13,-0.09,NA,NA,NA,-0.07,NA,NA,NA
-1.1,-0.1,0.02,0,0.28,0.14,-0.1,0.06,0.21,0.23,0.74,-0.92,NA,-1.18,NA,NA,NA
-0.61,0.38,0.41,0.25,0.36,NA,-0.2,-0.13,0.28,0.03,NA,-0.66,NA,-0.79,NA,NA,NA
-0.54,0.08,0.4,0.22,0.27,NA,-0.44,-0.91,0.17,0.04,NA,-0.12,0.33,-0.41,NA,NA,NA
-0.93,0.04,0.34,0.3,0.17,NA,-0.19,-0.36,0.16,-0.2,NA,-0.32,NA,-0.68,NA,NA,NA
-0.75,0.13,0.3,0.15,0.36,-0.06,-0.35,-0.51,0.03,0.35,0.24,-0.13,0.33,0.21,0.23,0.45,0.73
-0.67,0.11,0.3,0.17,0.33,NA,-0.44,-0.4,0.28,0.21,0.8,0.14,0.58,-0.68,NA,NA,NA
-0.47,0.19,0.23,0.23,0.26,0.07,-0.19,-0.24,0.26,0.09,0.27,-0.48,NA,-1.01,NA,NA,NA
-1.03,0.09,0.33,0.32,0.23,NA,-0.29,-0.75,0.24,-0.01,NA,-0.12,NA,-0.31,NA,NA,NA
NA,0.1,0.34,0.37,0.3,NA,-0.19,-0.57,0.25,0,NA,NA,NA,-0.32,NA,NA,NA
-0.78,0.14,0.26,0.27,0.24,NA,-0.38,-0.62,0.13,-0.21,NA,-0.29,NA,-0.26,NA,NA,NA
NA,NA,0.47,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.62,0.17,0.19,0.3,0.3,0.17,-0.28,-0.37,0.2,-0.03,NA,0.06,NA,0.02,NA,NA,0.77
-0.77,0.23,0.2,0.23,0.19,NA,-0.47,-0.6,0.18,0.12,NA,-0.38,NA,0.59,0.29,NA,NA
-0.48,0.51,0.62,0.49,0.3,0.32,-0.09,-0.7,0.08,0.2,NA,NA,NA,NA,NA,NA,NA
NA,0.13,0.26,0.28,0.26,NA,-0.23,-0.64,0.22,0.34,NA,-0.03,0.44,0.34,NA,NA,0.65
-0.49,0.4,0.67,0.22,0.19,NA,-0.4,-0.73,0.09,0.31,NA,NA,NA,-1.38,NA,NA,NA
-0.91,0.01,0.31,0.3,0.24,NA,-0.28,-0.69,0.14,-0.09,NA,NA,NA,-0.19,NA,NA,NA
-0.81,0.13,0.38,0.3,0.32,NA,-0.37,-0.78,0.23,0.07,NA,0.18,NA,0.3,NA,NA,NA
-0.76,0.09,0.21,0.23,0.26,0.03,-0.14,-0.45,0.21,0.02,NA,-0.09,NA,-0.07,NA,NA,0.42
-0.99,0.2,0.25,0.38,0.36,NA,-0.14,-0.72,0.09,-0.03,NA,0.11,NA,-0.03,NA,NA,NA
-0.87,0.16,0.28,0.22,0.3,NA,-0.16,-0.39,0.06,-0.15,NA,0.03,NA,-0.03,NA,NA,NA
-1,0.14,0.33,0.18,0.24,NA,-0.47,-0.68,0.27,-0.02,NA,-0.04,NA,-0.93,NA,NA,NA
-0.89,0.13,0.37,0.28,0.26,NA,-0.26,-0.68,0.23,0.03,NA,NA,NA,-0.16,NA,NA,NA
-1.12,0.06,0.35,0.45,0.4,NA,-0.25,-0.61,NA,-0.13,NA,NA,NA,-0.08,NA,NA,NA
-0.23,0.11,0.33,0.33,0.26,NA,-0.23,-0.65,0.23,-0.09,NA,-0.14,NA,-0.02,NA,NA,0.6
-0.69,0.09,0.31,0.35,0.25,0.08,-0.06,-0.34,0.08,-0.08,0.13,0.01,NA,-0.09,NA,NA,NA
-1,0.1,0.19,0.36,0.25,NA,-0.16,-0.5,-0.05,-0.26,NA,-0.31,NA,-0.22,NA,NA,NA
-1.26,-0.08,-0.04,0.1,-0.07,NA,-0.51,-0.88,-0.16,-0.82,NA,-0.56,NA,-1.41,NA,NA,NA
NA,0.07,0.19,0.26,0.26,NA,-0.05,-0.47,0.02,-0.18,0.1,NA,NA,-0.08,NA,NA,0.69
-1.26,0.11,0.12,0.29,0.26,NA,-0.01,-0.39,0,-0.04,NA,NA,NA,-0.14,NA,NA,NA
-0.44,0.07,0.42,0.35,0.16,NA,-0.06,-0.52,0.06,-0.21,NA,NA,NA,-0.51,NA,NA,NA
-0.81,0.27,0.21,0.11,0.25,NA,-0.43,-0.76,0.49,0.17,NA,NA,NA,NA,NA,NA,NA
-1.38,-0.11,-0.02,0.02,-0.02,NA,-0.45,-0.68,-0.01,-0.14,NA,NA,NA,-1.1,NA,NA,NA
-1.06,0.11,0.42,0.35,0.28,NA,-0.46,-0.8,0.24,0.02,NA,0.05,NA,-0.21,NA,NA,NA
-0.75,0.13,0.24,0.23,0.26,NA,-0.1,-0.37,0.19,0,NA,NA,NA,-0.36,NA,NA,NA
-1.18,-0.03,0.17,0.12,0.13,NA,-0.33,-0.71,0.04,-0.03,NA,0.02,NA,0.5,NA,NA,1.16
-0.96,0.09,0.34,0.32,0.33,NA,-0.51,-0.73,0.29,0.11,NA,0.51,0.88,0.72,NA,NA,1.25
-1.18,0.05,0.22,0.25,0.3,NA,-0.15,-0.41,0.18,0.07,NA,0.12,NA,-0.26,NA,NA,NA
-1.09,0.13,0.32,0.18,0.27,NA,-0.36,-0.63,0.34,0.07,NA,NA,NA,-0.59,NA,NA,NA
-0.34,0.16,0.32,0.2,0.15,-0.09,-0.52,-0.39,0.03,-0.02,0.07,-0.24,0.08,-0.13,0.03,0.11,0.52
-0.81,0.19,0.24,0.24,0.28,NA,0.09,-0.31,NA,0.33,NA,NA,NA,0.45,NA,NA,NA
-0.86,-0.01,0.22,0.21,0.24,NA,-0.24,-0.25,0.31,0.36,NA,NA,NA,NA,NA,NA,NA
-0.94,0.11,0.29,0.28,0.32,NA,-0.35,-0.7,0.33,0.07,NA,-0.11,NA,-0.69,NA,NA,NA
NA,0.09,0.19,0.34,0.39,NA,-0.24,-0.57,NA,-0.13,NA,NA,NA,NA,NA,NA,NA
-0.74,0.15,0.29,0.28,0.16,-0.06,-0.2,-0.36,0.08,-0.25,NA,-0.17,0.44,-0.45,NA,NA,0.3
-0.44,0.19,0.33,0.31,0.31,NA,-0.25,-0.35,0,-0.34,NA,-0.25,0.24,-0.11,NA,NA,0.37
NA,NA,0.34,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.12,0.07,0.22,0.24,0.22,0.03,-0.08,-0.25,0.1,-0.12,NA,0,0.41,-0.11,NA,0.6,0.67
-0.84,0.1,0.2,0.27,0.24,0,-0.4,-0.64,0.13,-0.05,NA,-0.27,NA,-0.38,NA,NA,NA
-0.76,0.08,0.41,0.37,0.37,NA,-0.19,-0.53,NA,0.13,NA,NA,NA,-0.2,NA,NA,NA
-1.07,0.05,0.24,0.26,0.26,NA,-0.09,-0.21,0.13,-0.07,NA,-0.33,NA,-0.58,NA,NA,NA
-0.29,0.05,0.32,0.24,0.21,-0.11,-0.32,-0.45,0.1,-0.01,NA,-0.21,0.27,0.07,0.08,0.2,0.49
-0.87,0.05,0.22,0.28,0.19,0.04,-0.18,-0.35,0.02,-0.2,0.18,-0.17,NA,-0.01,NA,0.49,NA
-0.69,0.17,0.21,0.28,0.23,0.14,-0.01,-0.15,0.1,-0.19,0.16,-0.01,NA,-0.1,NA,NA,0.51
-1.07,0.07,0.13,0.13,0.19,NA,-0.27,-0.55,0.19,0.03,0.63,-0.33,NA,-1.03,NA,NA,NA
-0.41,-0.04,0.26,0.19,0.18,-0.21,-0.43,-0.33,-0.04,0.49,NA,-0.61,NA,-0.54,NA,NA,-0.01
-0.9,0.28,0.28,0.37,0.49,NA,-0.14,-0.54,NA,-0.06,NA,NA,NA,-0.28,NA,NA,NA
-0.79,0.46,0.22,0.37,0.53,NA,-0.03,-0.43,NA,0.04,NA,NA,NA,-0.1,NA,NA,NA
-0.05,0.27,0.54,0.25,0.25,NA,0.02,-0.19,0.17,-0.1,NA,NA,NA,0.09,NA,NA,NA
-0.79,0.35,NA,0.32,0.48,NA,-0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,0.28,0.35,0.41,0.55,NA,-0.24,-0.45,NA,-0.1,NA,NA,NA,NA,NA,NA,NA
-0.59,0.25,0.29,0.37,0.24,NA,-0.16,-0.52,0.25,0.05,NA,0.18,NA,0.24,NA,NA,0.94
-0.48,0.27,0.16,0.27,0.45,NA,-0.12,-0.48,0.25,0.03,NA,NA,NA,0.88,NA,NA,NA
-0.77,0.12,0.27,0.24,0.2,NA,-0.64,-0.62,0.22,0.01,NA,-0.33,NA,-1.21,NA,NA,NA
-0.73,0.14,0.46,0.31,0.21,NA,-0.36,-0.45,0.32,0.11,NA,NA,NA,NA,NA,NA,NA
-1.17,0.22,NA,0.22,0.25,NA,-0.39,-0.3,0.55,-0.07,NA,NA,NA,NA,NA,2.05,NA
-1.07,0.2,0.04,0.2,0.3,NA,-0.22,-0.69,NA,-0.19,NA,NA,NA,-0.13,NA,NA,NA
-0.92,0.04,0.34,0.5,0.3,NA,-0.27,-0.74,0.14,-0.32,NA,NA,NA,-0.34,NA,NA,NA
NA,0.18,0.35,0.19,0.34,NA,-0.05,-0.28,0.35,0.25,NA,0.01,NA,-1.06,NA,NA,NA
-1.06,0.07,0.31,0.32,0.33,NA,-0.29,-0.71,0.12,-0.04,NA,NA,NA,-0.46,NA,NA,NA
-0.87,0.13,0.22,0.26,0.19,NA,-0.29,-0.75,0.28,0.19,NA,0.22,NA,0.63,NA,0.86,1.08
-0.97,0.25,0.23,0.34,0.42,NA,-0.3,-0.72,0.2,0.01,NA,NA,NA,-0.16,NA,NA,NA
-0.84,-0.01,0.23,0.28,0.18,NA,-0.25,-0.47,-0.05,-0.04,NA,0.07,NA,0.52,NA,NA,0.87
-1,0.04,0.38,0.31,0.19,NA,-0.22,-0.86,0.04,-0.25,NA,-0.05,NA,-0.16,NA,NA,NA
-1.04,-0.05,0.2,0.18,0.07,NA,-0.21,-0.54,0.15,0.01,NA,-0.41,NA,-0.69,NA,NA,0.25
-1.02,NA,-0.09,0.06,0.41,NA,NA,NA,NA,-0.26,NA,NA,NA,NA,NA,NA,NA
-0.96,0.43,NA,0.5,0.54,NA,-0.2,NA,NA,-0.14,NA,NA,NA,NA,NA,NA,NA
-0.96,-0.04,0.41,0.53,0.33,NA,-0.18,-0.68,0.05,-0.25,NA,NA,NA,-0.43,NA,NA,NA
-1.15,0.07,0.25,0.32,0.32,NA,-0.14,-0.67,0.14,-0.24,NA,NA,NA,-0.05,NA,1.37,NA
-0.54,-0.07,0.13,0.15,0.05,NA,-0.33,-0.42,-0.11,-0.56,NA,-0.31,0.11,-0.32,NA,NA,0.35
-0.74,0.16,0.39,0.34,0.28,NA,-0.32,-0.68,0.22,0.21,NA,0.11,NA,-0.04,NA,NA,0.49
-0.47,0.06,0.35,0.27,0.36,NA,-0.51,-0.72,0.23,0.15,NA,-0.05,NA,-0.76,NA,NA,NA
-0.71,0.01,0.42,0.25,0.27,NA,-0.18,-0.62,0.3,-0.09,NA,NA,NA,NA,NA,NA,NA
-1.11,-0.07,0.04,-0.03,-0.01,NA,-0.52,-0.49,0.02,-0.05,NA,0.29,0.65,0.51,0.91,0.98,1.41
-0.67,0.14,0.45,0.47,0.31,NA,-0.22,-0.57,0.32,0.04,NA,NA,NA,NA,NA,NA,NA
NA,-0.04,0.17,0.29,0.14,0.43,0.13,-0.41,0.31,0.12,NA,-0.22,0.64,NA,NA,NA,0.6
-1.28,0.02,0.09,0.26,0.29,NA,-0.14,-0.51,-0.09,-0.1,NA,NA,NA,-0.2,NA,NA,NA
