"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.47,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.93,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,0.16,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.12,NA,NA,NA
0,0,1,1,1,0,0,0,1,1,0,0,0,-0.13,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.54,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.99,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,1,0,0.34,NA,NA,1.06
0,0,1,1,1,0,0,0,1,0,0,1,0,-0.92,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,2,1.21,1.21,1.29,1.62
0,0,1,1,1,0,0,0,1,0,0,2,0,-0.01,NA,NA,NA
0,0,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,2,-0.82,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,1,0,0.42,NA,NA,0.72
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.72,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,0.12,NA,NA,NA
0,0,1,1,1,0,0,0,0,1,0,1,2,-0.9,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,-1.02,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,0,1,0,-0.39,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-1.04,NA,NA,NA
0,1,1,1,1,1,0,0,1,1,0,2,2,1.18,1.18,1.3,1.66
0,1,1,1,1,0,0,0,1,0,1,1,2,0.31,0.33,0.34,0.8
0,1,1,1,1,1,0,0,1,0,1,1,2,0.38,0.39,0.49,0.85
0,1,1,1,1,0,0,0,1,1,0,2,2,0.02,NA,NA,NA
0,1,1,0,0,0,0,0,0,0,0,0,0,-1.75,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,2,0,-0.78,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,0,0,0.47,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.06,NA,NA,NA
0,0,0,1,0,0,0,0,0,0,0,1,2,-1.3,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-1.09,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,0.05,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA
0,0,1,1,1,0,0,0,1,0,0,0,0,-0.35,NA,NA,NA
0,0,0,1,1,0,0,0,0,0,0,1,2,-0.34,NA,NA,0.33
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.42,NA,NA,NA
0,1,1,1,1,0,0,0,0,0,1,1,2,-0.07,-0.1,-0.07,0.17
0,0,1,1,1,0,1,0,1,1,0,0,0,-0.08,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,1,1,2,-0.11,0.22,0.28,0.62
0,1,1,1,1,0,0,0,1,1,0,0,0,-0.64,NA,NA,NA
0,0,1,1,1,0,0,0,1,1,0,1,0,-1.52,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,0.17,NA,NA,0.68
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.16,NA,NA,NA
0,1,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
0,1,1,1,1,1,0,0,1,1,1,1,2,-0.69,NA,NA,-0.06
0,1,1,1,1,0,0,0,1,0,0,2,0,-0.56,NA,NA,NA
0,1,1,1,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.07,NA,NA,NA
0,0,1,0,1,1,0,1,1,1,1,1,0,-1.18,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,0,-0.79,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,0,1,2,-0.41,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.68,NA,NA,NA
0,1,1,1,1,0,0,0,1,1,1,1,2,0.21,0.23,0.45,0.73
0,1,1,1,1,0,0,0,1,1,1,2,2,-0.68,NA,NA,NA
0,1,1,1,1,1,0,0,1,1,1,1,0,-1.01,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,1,0,-0.31,NA,NA,NA
0,1,1,1,1,0,0,0,1,0,0,0,0,-0.32,NA,NA,NA
