"C" "B" "B" "A" "A" "B" "C" "C" "E" "C" "A" "C" "A" "F" "E" "A" "A" "B" "A" "C" "B" "A" "B" "B" "A" "E" "B" "D" "D" "E" "B" "A" "E" "A" "C" "A" "D" "A" "B" "C" "B" "A" "A" "A" "D" "A" "C" "A" "A" "B"
"A" "A" "D" "C" "B" "A" "C" "B" "B" "C" "C" "F" "B" "F" "D" "A" "B" "A" "A" "B" "A" "B" "B" "A" "A" "C" "B" "E" "D" "E" "B" "C" "C" "A" "E" "A" "B" "A" "B" "B" "B" "D" "C" "B" "A" "D" "A" "B" "A" "C"
"C" "B" "A" "A" "C" "B" "A" "A" "D" "C" "B" "C" "B" "C" "B" "C" "A" "C" "A" "C" "A" "D" "B" "B" "A" "C" "A" "D" "B" "E" "C" "B" "A" "A" "B" "A" "C" "A" "B" "A" "D" "D" "A" "C" "D" "C" "C" "B" "A" "A"
"C" "B" "B" "A" "A" "A" "C" "A" "B" "D" "D" "F" "A" "A" "B" "C" "B" "B" "A" "E" "B" "A" "B" "A" "B" "D" "B" "E" "C" "D" "C" "C" "A" "A" "B" "A" "D" "A" "A" "B" "C" "F" "A" "D" "B" "C" "C" "B" "B" "A"
"C" "B" "A" "B" "A" "B" "A" "B" "D" "B" "E" "D" "A" "B" "E" "A" "C" "C" "B" "E" "C" "A" "B" "A" "A" "B" "B" "B" "C" "E" "A" "B" "C" "A" "B" "A" "D" "A" "B" "C" "B" "E" "D" "D" "A" "A" "C" "B" "B" "B"
"D" "B" "A" "C" "A" "A" "C" "C" "D" "B" "D" "A" "B" "B" "E" "A" "A" "C" "A" "A" "B" "A" "B" "B" "A" "D" "B" "E" "D" "D" "C" "C" "C" "A" "D" "B" "B" "A" "B" "C" "D" "D" "C" "D" "D" "A" "B" "A" "A" "C"
"D" "B" "C" "B" "C" "A" "A" "A" "B" "D" "D" "A" "B" "B" "E" "D" "D" "E" "B" "E" "C" "D" "B" "A" "A" "D" "A" "C" "D" "E" "C" "A" "E" "A" "C" "A" "B" "A" "A" "B" "D" "A" "C" "A" "C" "A" "C" "B" "B" "B"
"C" "B" "A" "A" "C" "B" "A" "A" "A" "A" "B" "D" "A" "C" "E" "C" "C" "E" "B" "A" "C" "A" "B" "A" "A" "E" "B" "C" "D" "B" "A" "C" "B" "A" "D" "A" "B" "A" "B" "A" "A" "A" "A" "D" "D" "C" "B" "B" "A" "A"
"C" "A" "B" "A" "A" "B" "C" "B" "B" "D" "A" "A" "B" "D" "E" "A" "B" "E" "A" "B" "B" "D" "B" "A" "B" "C" "B" "A" "F" "B" "A" "B" "D" "A" "E" "A" "A" "A" "A" "B" "D" "D" "A" "D" "D" "C" "D" "B" "B" "A"
"C" "B" "A" "A" "A" "A" "A" "B" "C" "D" "D" "F" "A" "F" "E" "D" "C" "A" "A" "E" "E" "C" "B" "A" "A" "A" "B" "D" "D" "E" "C" "C" "B" "A" "D" "B" "B" "A" "A" "A" "C" "D" "C" "A" "C" "E" "A" "B" "A" "A"
"C" "A" "A" "A" "C" "B" "B" "A" "B" "A" "B" "E" "A" "F" "D" "C" "A" "A" "A" "B" "D" "A" "B" "B" "A" "B" "A" "A" "D" "E" "A" "C" "C" "B" "C" "A" "C" "A" "B" "C" "B" "F" "E" "D" "A" "B" "C" "B" "A" "A"
"D" "B" "A" "A" "C" "B" "C" "A" "A" "A" "B" "E" "A" "D" "E" "D" "D" "E" "B" "A" "D" "D" "B" "B" "B" "B" "A" "D" "D" "E" "C" "C" "B" "A" "D" "A" "D" "A" "B" "C" "C" "D" "C" "D" "E" "A" "B" "B" "A" "A"
"D" "B" "A" "C" "A" "A" "B" "C" "E" "C" "A" "D" "A" "D" "E" "D" "A" "E" "B" "B" "B" "A" "B" "B" "C" "C" "A" "B" "E" "B" "A" "C" "B" "A" "D" "A" "B" "A" "B" "C" "D" "F" "C" "A" "C" "E" "B" "B" "B" "B"
"D" "B" "A" "C" "C" "A" "C" "B" "D" "B" "A" "D" "B" "A" "E" "B" "D" "D" "A" "D" "D" "D" "B" "B" "A" "F" "A" "C" "E" "A" "B" "C" "E" "A" "D" "A" "B" "A" "B" "B" "D" "F" "E" "D" "C" "E" "B" "B" "A" "B"
"A" "A" "B" "A" "A" "A" "A" "C" "E" "C" "A" "E" "A" "B" "D" "B" "C" "E" "A" "E" "E" "C" "A" "A" "B" "F" "B" "B" "C" "B" "A" "C" "C" "A" "C" "A" "D" "A" "B" "B" "C" "F" "E" "A" "B" "A" "D" "B" "A" "A"
"D" "B" "A" "C" "C" "A" "C" "A" "B" "D" "C" "C" "B" "D" "E" "D" "A" "A" "B" "D" "B" "C" "B" "A" "B" "B" "A" "B" "A" "B" "B" "C" "E" "A" "D" "B" "D" "A" "B" "B" "A" "D" "D" "A" "D" "C" "D" "B" "A" "B"
"A" "A" "A" "C" "A" "A" "C" "B" "B" "A" "E" "D" "B" "A" "E" "A" "C" "A" "A" "E" "E" "D" "A" "A" "A" "D" "B" "B" "D" "D" "B" "C" "D" "A" "B" "A" "D" "A" "A" "B" "B" "F" "C" "A" "E" "B" "C" "B" "B" "A"
"C" "B" "B" "B" "C" "B" "C" "C" "A" "C" "D" "E" "A" "E" "E" "A" "A" "E" "A" "B" "A" "C" "B" "B" "A" "F" "A" "C" "E" "A" "C" "A" "D" "A" "C" "A" "D" "A" "B" "C" "B" "E" "D" "D" "A" "E" "D" "B" "A" "B"
"B" "B" "B" "A" "C" "B" "A" "C" "C" "B" "D" "E" "A" "F" "E" "A" "A" "E" "A" "B" "B" "C" "B" "B" "A" "D" "A" "D" "D" "E" "C" "C" "B" "A" "E" "A" "A" "A" "B" "B" "A" "D" "A" "D" "E" "D" "A" "B" "B" "C"
"C" "A" "A" "A" "C" "B" "C" "A" "C" "C" "B" "D" "A" "E" "D" "A" "D" "A" "B" "D" "B" "C" "B" "B" "A" "F" "A" "D" "E" "D" "B" "B" "A" "A" "C" "A" "D" "A" "B" "B" "A" "F" "A" "D" "E" "A" "D" "A" "B" "A"
"D" "B" "C" "C" "B" "A" "C" "A" "B" "A" "A" "F" "B" "D" "C" "D" "C" "E" "A" "B" "E" "D" "A" "A" "A" "E" "A" "C" "D" "B" "A" "C" "E" "A" "D" "A" "D" "A" "A" "C" "B" "F" "C" "B" "D" "C" "A" "B" "A" "B"
"D" "B" "A" "C" "C" "A" "B" "C" "B" "A" "A" "E" "B" "A" "E" "B" "C" "E" "A" "C" "E" "C" "A" "A" "A" "E" "B" "D" "D" "D" "A" "C" "C" "A" "D" "A" "B" "A" "B" "C" "A" "D" "E" "C" "C" "C" "A" "B" "A" "A"
"D" "B" "A" "A" "A" "B" "A" "C" "D" "B" "D" "E" "A" "E" "E" "B" "B" "E" "B" "A" "A" "A" "A" "A" "A" "F" "B" "D" "D" "E" "C" "C" "A" "A" "D" "A" "D" "A" "B" "B" "C" "D" "A" "A" "A" "E" "A" "A" "A" "C"
"D" "B" "A" "C" "A" "A" "B" "A" "D" "B" "A" "C" "B" "B" "E" "D" "C" "C" "B" "D" "D" "A" "B" "A" "A" "E" "B" "C" "D" "B" "A" "B" "B" "A" "B" "A" "D" "A" "B" "C" "C" "A" "D" "A" "B" "B" "C" "A" "B" "A"
"D" "B" "A" "C" "B" "A" "B" "A" "B" "B" "C" "C" "A" "D" "C" "C" "B" "E" "A" "D" "B" "D" "B" "B" "A" "D" "A" "D" "D" "E" "A" "A" "B" "A" "E" "B" "D" "A" "B" "B" "A" "D" "D" "D" "A" "D" "D" "B" "B" "B"
"D" "B" "A" "C" "A" "A" "C" "B" "B" "D" "A" "D" "A" "D" "A" "D" "A" "C" "B" "B" "B" "A" "B" "B" "A" "D" "B" "D" "D" "A" "A" "C" "A" "A" "C" "A" "B" "A" "B" "C" "C" "D" "C" "C" "E" "A" "D" "B" "A" "C"
"C" "B" "A" "A" "A" "A" "C" "C" "B" "B" "D" "E" "B" "F" "E" "B" "A" "C" "B" "E" "B" "D" "B" "B" "A" "D" "B" "D" "D" "A" "A" "C" "B" "A" "C" "A" "B" "A" "B" "C" "A" "A" "D" "C" "C" "D" "B" "B" "A" "A"
"C" "B" "B" "A" "A" "B" "C" "C" "B" "C" "D" "E" "B" "F" "E" "B" "D" "E" "B" "B" "A" "A" "B" "B" "A" "F" "B" "B" "D" "C" "C" "C" "C" "A" "C" "A" "B" "A" "B" "C" "D" "F" "C" "B" "E" "A" "C" "B" "B" "B"
