"E" "D" "A" "A" "C" "E" "C" "F" "B" "D" "F" "E" "E" "C" "E" "A" "B" "C" "F" "NA" "F" "C" "E" "D" "D" "D" "E" "G" "A" "G" "I" "C" "G" "H" "B" "C" "C" "A" "D" "A" "H" "B" "C" "A" "D" "B" "N" "F"
"G" "D" "C" "C" "C" "A" "G" "I" "B" "B" "B" "B" "C" "E" "I" "A" "C" "C" "D" "F" "H" "B" "F" "E" "E" "B" "D" "G" "G" "F" "C" "E" "G" "G" "B" "A" "F" "G" "C" "D" "H" "F" "B" "C" "C" "B" "A" "D"
"C" "D" "A" "D" "I" "D" "B" "E" "B" "C" "E" "A" "A" "J" "I" "A" "A" "G" "A" "W" "C" "A" "C" "F" "C" "A" "I" "G" "D" "G" "G" "A" "G" "C" "G" "B" "F" "A" "F" "D" "H" "B" "D" "B" "D" "B" "A" "C"
"I" "A" "B" "B" "A" "D" "B" "H" "A" "D" "C" "D" "E" "J" "C" "C" "B" "D" "F" "J" "F" "A" "B" "F" "H" "A" "E" "D" "E" "F" "I" "F" "B" "I" "A" "B" "A" "H" "E" "B" "F" "H" "B" "F" "A" "A" "A" "C"
"H" "C" "A" "E" "K" "A" "B" "A" "A" "B" "C" "B" "F" "A" "D" "C" "A" "B" "C" "NA" "I" "B" "A" "I" "J" "J" "E" "G" "E" "H" "E" "D" "G" "F" "G" "F" "D" "H" "C" "A" "H" "D" "A" "C" "D" "A" "P" "A"
"B" "B" "A" "D" "D" "E" "B" "G" "B" "B" "C" "B" "F" "D" "D" "A" "B" "C" "F" "NA" "I" "B" "F" "E" "A" "C" "G" "G" "F" "F" "I" "F" "G" "I" "E" "B" "F" "C" "C" "D" "F" "I" "D" "C" "C" "C" "E" "F"
"A" "E" "B" "A" "K" "B" "B" "E" "A" "E" "F" "D" "D" "F" "F" "H" "B" "E" "D" "J" "A" "A" "A" "J" "F" "F" "I" "F" "C" "C" "F" "E" "E" "C" "H" "E" "F" "A" "C" "B" "F" "H" "D" "E" "A" "D" "P" "B"
"A" "A" "B" "C" "B" "B" "C" "G" "B" "C" "D" "C" "C" "D" "B" "E" "C" "A" "B" "NA" "F" "A" "A" "E" "I" "A" "I" "G" "B" "F" "I" "E" "D" "G" "A" "F" "F" "A" "B" "A" "F" "I" "A" "C" "A" "B" "M" "F"
"D" "D" "C" "C" "D" "D" "H" "G" "B" "B" "F" "G" "D" "C" "A" "F" "A" "C" "B" "NA" "D" "A" "G" "F" "D" "D" "D" "D" "A" "D" "I" "C" "F" "G" "C" "F" "D" "E" "E" "D" "C" "D" "D" "G" "D" "B" "N" "E"
"G" "A" "A" "E" "D" "C" "C" "I" "B" "B" "E" "H" "B" "D" "B" "C" "B" "C" "D" "W" "F" "C" "C" "H" "G" "F" "A" "G" "D" "C" "A" "G" "G" "G" "F" "G" "A" "C" "D" "A" "C" "B" "B" "G" "D" "B" "A" "E"
"B" "A" "C" "C" "H" "A" "H" "A" "A" "F" "E" "E" "C" "C" "E" "C" "E" "G" "C" "NA" "I" "C" "C" "E" "B" "H" "I" "C" "F" "F" "F" "G" "B" "A" "H" "A" "B" "C" "A" "B" "H" "H" "B" "C" "C" "A" "P" "B"
"D" "A" "C" "C" "H" "D" "E" "E" "A" "C" "A" "H" "B" "J" "G" "E" "D" "A" "F" "NA" "I" "B" "G" "H" "A" "I" "F" "D" "C" "B" "H" "G" "B" "B" "E" "D" "A" "D" "B" "A" "H" "F" "A" "E" "D" "A" "H" "D"
"C" "C" "A" "A" "F" "A" "D" "G" "A" "F" "B" "F" "D" "C" "F" "C" "C" "B" "E" "J" "E" "C" "G" "D" "J" "F" "B" "B" "F" "G" "C" "E" "C" "H" "B" "F" "D" "A" "C" "C" "H" "D" "C" "H" "D" "B" "R" "A"
"C" "B" "C" "E" "I" "A" "B" "E" "B" "C" "C" "J" "F" "J" "C" "F" "E" "G" "F" "NA" "C" "B" "A" "B" "H" "D" "E" "D" "G" "F" "B" "A" "A" "C" "F" "A" "C" "H" "C" "C" "H" "D" "D" "H" "C" "C" "D" "B"
"E" "D" "C" "E" "D" "A" "D" "C" "A" "E" "E" "I" "F" "E" "B" "E" "E" "B" "D" "NA" "D" "B" "D" "C" "J" "B" "B" "D" "A" "F" "C" "C" "B" "E" "E" "D" "C" "C" "A" "E" "H" "C" "A" "A" "C" "B" "R" "D"
"H" "A" "B" "A" "D" "A" "G" "B" "B" "C" "F" "J" "B" "A" "I" "C" "A" "E" "A" "NA" "C" "B" "A" "H" "I" "H" "I" "B" "H" "G" "I" "C" "A" "H" "A" "C" "B" "C" "B" "C" "F" "H" "B" "D" "C" "A" "T" "F"
"E" "C" "B" "B" "H" "D" "H" "G" "A" "B" "B" "C" "D" "B" "A" "C" "D" "B" "F" "NA" "C" "C" "C" "F" "D" "H" "I" "G" "G" "F" "F" "F" "B" "H" "E" "G" "B" "H" "E" "A" "H" "A" "B" "C" "D" "C" "R" "C"
"F" "B" "A" "C" "E" "B" "B" "D" "B" "C" "A" "H" "E" "J" "B" "A" "E" "C" "E" "NA" "I" "C" "E" "J" "E" "E" "I" "F" "C" "C" "I" "A" "D" "B" "C" "E" "B" "E" "G" "B" "A" "D" "B" "D" "C" "A" "M" "F"
"A" "C" "C" "C" "G" "E" "H" "F" "A" "B" "E" "J" "F" "J" "B" "H" "C" "G" "A" "E" "B" "C" "C" "F" "F" "E" "I" "D" "F" "F" "E" "F" "B" "C" "A" "A" "D" "A" "D" "E" "C" "E" "D" "C" "D" "C" "A" "F"
"D" "B" "B" "A" "J" "B" "D" "E" "B" "E" "B" "B" "C" "F" "B" "C" "E" "E" "F" "K" "D" "B" "A" "H" "I" "E" "I" "C" "G" "G" "A" "A" "G" "H" "D" "F" "B" "C" "C" "C" "H" "B" "A" "E" "A" "A" "P" "D"
"H" "E" "C" "C" "D" "C" "D" "G" "B" "A" "C" "F" "D" "C" "E" "H" "A" "F" "A" "NA" "H" "C" "C" "A" "F" "A" "E" "E" "A" "E" "C" "G" "C" "H" "A" "B" "B" "A" "C" "D" "B" "F" "C" "A" "B" "D" "M" "C"
"B" "D" "A" "B" "D" "C" "A" "D" "B" "E" "E" "E" "D" "D" "B" "A" "B" "F" "A" "L" "D" "C" "A" "C" "E" "H" "A" "D" "E" "B" "H" "D" "D" "G" "A" "B" "D" "H" "D" "A" "F" "E" "B" "G" "A" "B" "P" "C"
"A" "A" "C" "D" "F" "B" "B" "F" "B" "D" "F" "D" "C" "A" "H" "C" "B" "A" "B" "NA" "B" "C" "F" "J" "A" "J" "I" "D" "B" "F" "B" "G" "C" "E" "B" "C" "D" "A" "B" "C" "H" "D" "D" "E" "C" "A" "O" "A"
"A" "A" "C" "C" "C" "B" "E" "H" "A" "F" "F" "D" "F" "I" "G" "E" "D" "E" "D" "E" "F" "B" "E" "I" "I" "F" "E" "E" "I" "B" "A" "E" "A" "D" "B" "F" "D" "F" "B" "C" "F" "I" "C" "C" "A" "C" "P" "A"
"D" "A" "C" "C" "C" "E" "A" "G" "A" "D" "A" "A" "C" "C" "I" "H" "B" "G" "F" "NA" "E" "B" "D" "A" "H" "C" "E" "E" "G" "G" "G" "F" "G" "H" "C" "E" "D" "A" "F" "D" "F" "F" "D" "G" "C" "D" "L" "B"
"D" "D" "C" "B" "B" "E" "E" "H" "A" "E" "F" "G" "D" "C" "J" "C" "A" "D" "E" "NA" "H" "A" "E" "J" "D" "E" "I" "F" "H" "G" "H" "I" "E" "C" "H" "F" "A" "H" "B" "C" "F" "A" "D" "C" "D" "A" "N" "E"
"B" "B" "A" "F" "I" "C" "B" "B" "A" "B" "E" "E" "C" "B" "J" "A" "E" "A" "F" "NA" "E" "B" "C" "B" "F" "F" "D" "C" "H" "A" "I" "D" "D" "E" "A" "F" "E" "A" "F" "E" "F" "D" "D" "D" "C" "C" "P" "D"
"B" "C" "A" "E" "A" "B" "A" "F" "B" "D" "E" "F" "B" "J" "A" "E" "B" "F" "D" "NA" "I" "C" "C" "B" "A" "C" "F" "B" "H" "G" "I" "A" "B" "H" "B" "D" "D" "H" "B" "D" "H" "H" "B" "C" "D" "B" "L" "A"
"D" "B" "B" "B" "D" "C" "H" "A" "B" "C" "B" "B" "B" "D" "B" "H" "D" "F" "D" "NA" "D" "A" "G" "G" "H" "J" "B" "E" "E" "B" "G" "B" "E" "A" "A" "G" "C" "D" "C" "E" "A" "D" "D" "D" "B" "B" "N" "D"
"G" "E" "A" "D" "B" "E" "E" "B" "B" "D" "E" "G" "C" "D" "B" "E" "A" "D" "D" "NA" "I" "C" "D" "A" "B" "G" "E" "C" "D" "A" "D" "H" "A" "B" "C" "B" "C" "H" "D" "D" "H" "F" "D" "A" "C" "B" "R" "C"
"B" "E" "B" "F" "K" "B" "H" "A" "B" "C" "E" "E" "B" "D" "A" "A" "D" "C" "B" "A" "I" "B" "F" "J" "F" "H" "D" "D" "I" "E" "G" "F" "C" "I" "D" "F" "A" "C" "E" "D" "F" "H" "B" "D" "C" "A" "C" "E"
"E" "A" "B" "B" "H" "E" "H" "G" "B" "F" "F" "E" "E" "E" "E" "E" "C" "B" "E" "W" "B" "A" "C" "B" "D" "I" "E" "C" "F" "D" "F" "B" "E" "B" "C" "B" "F" "C" "D" "C" "H" "I" "D" "A" "A" "B" "E" "A"
"H" "A" "B" "E" "B" "E" "B" "E" "A" "C" "E" "H" "E" "A" "J" "H" "B" "E" "E" "E" "B" "C" "C" "I" "B" "J" "A" "C" "H" "F" "C" "B" "D" "C" "D" "D" "A" "A" "B" "A" "H" "D" "B" "E" "C" "D" "J" "C"
"C" "B" "A" "F" "A" "B" "A" "I" "A" "D" "D" "C" "E" "G" "E" "C" "A" "A" "A" "NA" "A" "B" "B" "I" "J" "F" "D" "D" "F" "F" "A" "I" "E" "A" "D" "D" "D" "D" "B" "C" "F" "I" "B" "B" "A" "D" "J" "B"
