"SalePrice","Neighborhood","LotArea","YrBuilt","HouseStyle","Foundation","RoofMatl","Ext1","Heating","Central.Air","TtlBsmtSF","TotRmsAbvGrd","GarageType","Cars","GarageArea","NmbrBRs","YrSold_YYYY","MoSold_MM","SaleDate","id"
215000,"N Ames",36502,1966,"1-Story","C'Block","Other","Wd Sdng","GasFWA","Yes",1232,5,"Attachd",2,572,2,2013,8,"2013-08-01",1
220000,"N Ames",21997,1966,"1-Story","C'Block","CompShg","Wd Sdng","GasFWA","Yes",1653,6,"Attachd",2,559,3,2014,6,"2014-06-01",2
129900,"N Ames",8807,1956,"1-Story","C'Block","CompShg","Wd Sdng","GasFWA","Yes",1008,7,"Attachd",1,325,3,2012,12,"2012-12-01",3
237500,"N Ames",13404,1957,"1-Story","C'Block","CompShg","Wd Sdng","GasFWA","Yes",1134,5,"Attachd",2,484,2,2012,6,"2012-06-01",4
129000,"N Ames",23809,1960,"1-Story","Slab","CompShg","Wd Sdng","GasFWA","Yes",0,8,"Attachd",2,735,4,2012,7,"2012-07-01",5
178200,"N Ames",11029,1958,"1-Story","C'Block","CompShg","MetalSd","GasFWA","Yes",1184,6,"Attachd",2,601,3,2012,11,"2012-11-01",6
232000,"N Ames",11075,1969,"1-Story","C'Block","CompShg","HdBoard","GasFWA","Yes",1681,7,"Attachd",2,572,3,2014,8,"2014-08-01",7
270000,"N Ames",13010,1974,"1-Story","P'Conc","Other","BrkFace","GasFWA","Yes",1742,7,"Attachd",2,627,2,2014,4,"2014-04-01",8
159000,"Blmngtn",4693,2000,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1055,5,"Attachd",2,439,2,2013,8,"2013-08-01",9
137500,"Blmngtn",4693,1999,"1-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",1055,5,"Attachd",2,439,2,2012,7,"2012-07-01",10
149500,"Blmngtn",4693,1999,"2-Story","P'Conc","CompShg","VinylSd","GasFWA","Yes",660,5,"BuiltIn",2,429,2,2013,4,"2013-04-01",11
