"D" "A" "A" "C" "D" "A" "C" "C" "C" "B" "A" "B" "C" "A" "B" "A" "C" "A" "C" "B" "C" "A" "C" "B" "A" "B" "B" "A" "C" "C" "C" "C" "D" "B" "B" "B" "B" "D" "A" "D" "K" "B" "A" "C" "E" "B" "A" "A" "C" "B" "G" "D" "D" "D" "B" "F"
"C" "A" "A" "A" "B" "C" "B" "D" "B" "B" "A" "B" "C" "A" "C" "C" "A" "A" "B" "B" "A" "C" "D" "A" "B" "A" "H" "A" "C" "A" "C" "C" "D" "A" "A" "A" "A" "B" "B" "B" "B" "A" "A" "C" "A" "D" "A" "B" "C" "B" "B" "B" "D" "A" "B" "F"
"D" "A" "D" "B" "D" "D" "B" "A" "C" "A" "B" "C" "A" "C" "A" "C" "C" "B" "B" "C" "A" "A" "C" "A" "B" "A" "I" "A" "B" "B" "B" "D" "B" "B" "C" "A" "E" "C" "B" "A" "G" "A" "B" "C" "A" "B" "A" "B" "D" "B" "F" "E" "A" "C" "B" "D"
"C" "A" "A" "C" "B" "B" "A" "B" "D" "B" "B" "A" "A" "C" "A" "C" "C" "A" "B" "A" "C" "A" "D" "B" "B" "B" "J" "A" "C" "B" "A" "B" "A" "B" "A" "A" "D" "B" "A" "D" "I" "C" "A" "B" "C" "C" "C" "B" "C" "C" "F" "A" "A" "D" "B" "C"
"C" "B" "D" "D" "A" "D" "B" "A" "B" "B" "C" "A" "A" "C" "A" "C" "C" "C" "B" "A" "C" "A" "D" "C" "B" "E" "J" "B" "D" "C" "B" "F" "C" "B" "B" "A" "E" "B" "C" "D" "E" "C" "C" "B" "F" "C" "B" "B" "A" "B" "F" "E" "B" "D" "A" "A"
"C" "C" "A" "D" "A" "A" "C" "B" "D" "B" "B" "C" "A" "C" "B" "A" "C" "C" "C" "A" "A" "A" "D" "A" "A" "B" "F" "A" "D" "A" "A" "E" "C" "B" "B" "B" "D" "C" "C" "A" "A" "B" "C" "C" "F" "A" "B" "A" "C" "B" "B" "E" "A" "D" "A" "D"
"B" "C" "A" "B" "D" "A" "C" "D" "D" "B" "B" "B" "C" "B" "B" "A" "C" "B" "A" "B" "B" "A" "D" "A" "B" "A" "H" "A" "C" "B" "B" "F" "A" "A" "C" "A" "C" "D" "C" "D" "J" "B" "A" "B" "F" "D" "A" "A" "A" "B" "D" "D" "A" "C" "B" "D"
"B" "C" "D" "C" "B" "C" "B" "C" "C" "C" "A" "A" "C" "A" "C" "C" "C" "B" "C" "A" "B" "A" "C" "B" "B" "A" "D" "B" "B" "B" "A" "A" "C" "A" "C" "B" "C" "B" "A" "D" "F" "B" "C" "C" "B" "A" "B" "A" "C" "B" "C" "E" "D" "C" "A" "F"
"A" "A" "A" "B" "B" "D" "B" "D" "D" "B" "C" "B" "B" "C" "B" "D" "C" "B" "B" "C" "B" "C" "A" "A" "A" "C" "I" "B" "D" "B" "B" "E" "C" "A" "A" "A" "E" "D" "B" "D" "J" "C" "C" "C" "E" "A" "B" "A" "C" "A" "B" "C" "A" "A" "A" "D"
"A" "B" "A" "A" "B" "B" "D" "C" "D" "B" "C" "B" "C" "C" "C" "D" "C" "C" "C" "B" "C" "A" "C" "C" "C" "A" "I" "A" "C" "B" "B" "D" "C" "B" "C" "A" "A" "D" "C" "D" "H" "B" "A" "C" "E" "D" "A" "B" "C" "B" "F" "A" "D" "B" "B" "F"
"B" "B" "A" "C" "A" "B" "D" "D" "A" "A" "B" "B" "B" "B" "B" "C" "C" "C" "A" "C" "B" "A" "D" "C" "B" "A" "I" "B" "A" "B" "A" "F" "C" "A" "B" "B" "D" "D" "C" "D" "A" "C" "C" "C" "D" "B" "B" "A" "D" "C" "D" "A" "B" "D" "A" "C"
"D" "A" "A" "C" "B" "B" "C" "D" "C" "B" "A" "B" "A" "C" "B" "C" "C" "C" "B" "A" "B" "B" "D" "B" "B" "B" "F" "A" "B" "A" "C" "B" "C" "A" "C" "C" "A" "D" "B" "B" "E" "B" "B" "A" "C" "C" "A" "B" "C" "B" "A" "D" "C" "C" "B" "C"
"C" "B" "A" "A" "C" "C" "C" "C" "C" "B" "A" "A" "C" "B" "B" "B" "C" "A" "B" "A" "A" "A" "D" "B" "C" "B" "J" "A" "D" "C" "A" "E" "D" "C" "C" "B" "C" "C" "B" "C" "E" "C" "A" "C" "F" "B" "A" "B" "A" "B" "B" "E" "D" "C" "B" "C"
"B" "B" "A" "B" "A" "B" "D" "B" "C" "B" "A" "A" "B" "C" "C" "C" "C" "C" "C" "A" "A" "A" "C" "B" "B" "D" "F" "A" "B" "B" "A" "B" "C" "A" "B" "B" "A" "C" "A" "D" "F" "C" "C" "C" "A" "A" "B" "A" "A" "B" "B" "E" "C" "A" "A" "C"
"C" "A" "A" "B" "A" "C" "A" "C" "B" "A" "A" "B" "C" "B" "A" "B" "C" "B" "A" "A" "C" "A" "D" "A" "B" "B" "I" "A" "D" "B" "A" "B" "C" "A" "B" "B" "B" "D" "A" "B" "E" "A" "C" "C" "F" "B" "B" "A" "C" "B" "E" "B" "A" "A" "A" "C"
"B" "B" "A" "A" "B" "C" "A" "B" "C" "A" "A" "B" "C" "A" "C" "C" "C" "A" "C" "B" "C" "A" "D" "A" "B" "A" "B" "A" "B" "A" "C" "F" "C" "A" "A" "B" "A" "D" "B" "B" "H" "C" "B" "C" "C" "D" "C" "C" "D" "B" "A" "A" "C" "C" "B" "D"
"C" "B" "A" "B" "B" "C" "D" "B" "D" "A" "B" "A" "C" "A" "C" "A" "C" "C" "C" "B" "C" "A" "D" "A" "A" "A" "H" "B" "C" "B" "A" "C" "A" "A" "C" "C" "C" "C" "D" "C" "G" "B" "C" "C" "F" "C" "A" "A" "D" "C" "B" "E" "A" "C" "A" "B"
"B" "A" "D" "A" "C" "C" "A" "D" "A" "A" "B" "C" "C" "B" "B" "D" "C" "A" "B" "C" "B" "A" "A" "B" "B" "B" "B" "A" "D" "A" "B" "D" "A" "B" "C" "A" "E" "D" "C" "D" "K" "B" "A" "C" "G" "B" "A" "C" "C" "B" "G" "A" "C" "B" "A" "D"
"C" "A" "A" "C" "A" "C" "C" "B" "C" "B" "C" "B" "A" "C" "B" "D" "C" "C" "A" "C" "B" "A" "D" "B" "B" "D" "H" "A" "D" "B" "A" "A" "C" "C" "B" "C" "C" "B" "C" "B" "K" "A" "C" "B" "F" "C" "B" "A" "B" "C" "C" "D" "C" "A" "A" "D"
"D" "A" "D" "C" "B" "D" "B" "D" "B" "A" "C" "A" "A" "C" "B" "B" "A" "A" "C" "C" "C" "C" "C" "B" "B" "A" "J" "A" "C" "B" "C" "D" "C" "C" "C" "B" "E" "D" "A" "C" "G" "A" "A" "C" "B" "C" "A" "B" "C" "C" "B" "E" "C" "C" "A" "C"
"D" "A" "A" "B" "D" "C" "C" "B" "C" "C" "B" "A" "B" "A" "A" "A" "C" "C" "A" "A" "A" "A" "D" "A" "A" "B" "K" "A" "A" "C" "C" "B" "B" "A" "B" "B" "C" "B" "C" "A" "F" "B" "B" "C" "C" "B" "B" "A" "C" "B" "B" "E" "A" "C" "B" "C"
"B" "B" "A" "A" "D" "D" "C" "B" "C" "A" "B" "A" "C" "C" "C" "C" "C" "A" "C" "A" "C" "A" "D" "C" "B" "A" "H" "A" "C" "B" "C" "D" "A" "A" "A" "A" "D" "C" "D" "D" "K" "B" "A" "C" "C" "D" "A" "B" "A" "C" "F" "D" "D" "B" "B" "B"
"D" "B" "A" "D" "B" "D" "A" "A" "B" "C" "C" "B" "A" "B" "A" "A" "C" "C" "B" "B" "C" "A" "D" "B" "B" "B" "H" "B" "A" "A" "C" "C" "C" "B" "B" "A" "D" "C" "C" "D" "K" "C" "C" "A" "E" "C" "B" "A" "C" "B" "D" "D" "B" "C" "A" "B"
"B" "A" "A" "C" "B" "A" "C" "A" "A" "C" "A" "A" "C" "B" "A" "C" "A" "C" "A" "A" "A" "A" "C" "C" "B" "B" "I" "B" "D" "B" "C" "B" "C" "B" "B" "A" "B" "C" "C" "D" "E" "B" "C" "A" "F" "C" "B" "A" "A" "C" "G" "B" "D" "B" "A" "D"
"A" "A" "A" "B" "A" "A" "A" "A" "D" "A" "A" "B" "B" "C" "A" "D" "C" "B" "B" "A" "B" "A" "D" "A" "A" "E" "G" "B" "B" "B" "B" "B" "C" "A" "B" "C" "D" "C" "D" "C" "G" "A" "C" "A" "E" "A" "B" "A" "A" "B" "C" "C" "D" "A" "A" "D"
"D" "A" "A" "A" "C" "C" "C" "B" "A" "B" "C" "B" "C" "B" "B" "C" "C" "C" "C" "C" "C" "A" "D" "C" "A" "C" "F" "A" "C" "B" "A" "D" "C" "B" "B" "C" "D" "D" "D" "B" "F" "C" "C" "B" "C" "B" "B" "B" "D" "A" "E" "D" "A" "C" "A" "D"
"A" "B" "D" "D" "C" "A" "C" "A" "D" "B" "C" "C" "B" "B" "A" "A" "C" "A" "C" "A" "A" "A" "D" "A" "B" "A" "B" "A" "B" "B" "A" "F" "C" "A" "A" "B" "A" "D" "B" "A" "E" "A" "A" "C" "C" "B" "A" "A" "D" "B" "F" "E" "A" "D" "B" "C"
"C" "A" "D" "B" "A" "A" "A" "B" "D" "B" "B" "B" "B" "B" "C" "D" "C" "C" "C" "C" "C" "A" "D" "A" "A" "A" "A" "B" "C" "A" "B" "D" "C" "B" "B" "C" "C" "C" "C" "D" "H" "B" "B" "C" "D" "B" "B" "B" "C" "B" "E" "D" "A" "C" "A" "D"
"C" "B" "A" "A" "B" "B" "C" "C" "B" "C" "B" "B" "A" "C" "C" "B" "C" "A" "B" "A" "A" "A" "C" "B" "A" "B" "I" "B" "D" "A" "A" "F" "C" "B" "B" "C" "B" "D" "B" "B" "A" "A" "C" "C" "E" "B" "B" "A" "C" "C" "D" "E" "A" "A" "A" "D"
"C" "B" "A" "B" "B" "A" "A" "A" "D" "A" "B" "B" "B" "B" "A" "C" "C" "A" "B" "C" "A" "A" "C" "A" "B" "B" "J" "A" "C" "C" "A" "F" "A" "B" "C" "B" "E" "A" "D" "D" "G" "C" "A" "C" "F" "D" "A" "B" "D" "B" "F" "D" "C" "A" "A" "C"
"C" "B" "A" "C" "A" "D" "B" "A" "B" "A" "C" "B" "C" "B" "A" "D" "A" "A" "A" "C" "B" "A" "D" "A" "A" "B" "I" "B" "B" "B" "A" "A" "A" "C" "B" "B" "B" "D" "A" "D" "F" "B" "C" "C" "D" "C" "A" "A" "D" "A" "B" "B" "B" "D" "A" "C"
"A" "A" "A" "D" "B" "A" "B" "A" "A" "B" "C" "C" "C" "A" "A" "C" "C" "A" "A" "C" "B" "A" "D" "B" "B" "A" "J" "A" "D" "B" "B" "E" "C" "B" "A" "A" "E" "C" "C" "D" "K" "B" "A" "C" "A" "C" "C" "B" "A" "B" "G" "E" "B" "C" "B" "D"
"C" "A" "A" "D" "D" "B" "C" "A" "B" "A" "C" "B" "A" "A" "A" "D" "C" "A" "A" "C" "B" "A" "D" "C" "A" "A" "I" "B" "B" "B" "A" "D" "C" "A" "A" "A" "A" "B" "A" "A" "C" "B" "C" "C" "F" "B" "B" "A" "A" "C" "E" "E" "A" "A" "A" "D"
"D" "B" "A" "B" "B" "A" "D" "B" "C" "B" "B" "B" "C" "C" "C" "B" "C" "A" "C" "A" "A" "A" "A" "B" "B" "A" "F" "A" "B" "B" "A" "B" "B" "B" "B" "B" "E" "B" "A" "C" "I" "B" "B" "A" "D" "D" "A" "C" "A" "C" "B" "D" "A" "C" "B" "D"
"C" "A" "A" "B" "A" "C" "A" "D" "C" "B" "B" "B" "A" "A" "C" "A" "C" "C" "B" "A" "A" "A" "D" "B" "B" "E" "D" "B" "D" "C" "A" "F" "C" "B" "C" "A" "C" "B" "C" "C" "C" "A" "C" "C" "F" "A" "B" "A" "D" "A" "D" "A" "C" "D" "A" "C"
"C" "B" "D" "C" "B" "C" "C" "A" "D" "B" "A" "B" "B" "C" "A" "B" "C" "C" "B" "A" "C" "C" "A" "B" "B" "C" "H" "B" "D" "A" "A" "B" "C" "A" "A" "B" "C" "D" "C" "D" "G" "C" "C" "B" "F" "B" "B" "C" "D" "B" "C" "B" "B" "A" "A" "C"
"C" "A" "A" "B" "D" "D" "C" "B" "A" "B" "A" "B" "C" "A" "A" "A" "C" "A" "A" "A" "B" "A" "D" "C" "A" "B" "G" "A" "C" "B" "A" "C" "C" "B" "C" "C" "C" "D" "B" "C" "J" "C" "A" "B" "C" "C" "C" "B" "C" "C" "F" "A" "B" "A" "B" "F"
"C" "A" "A" "A" "B" "A" "C" "B" "D" "A" "C" "A" "C" "C" "C" "C" "C" "C" "C" "B" "B" "A" "D" "A" "B" "A" "I" "B" "B" "B" "A" "B" "B" "A" "C" "A" "B" "D" "B" "C" "F" "B" "C" "C" "F" "C" "B" "C" "A" "B" "D" "D" "D" "C" "A" "D"
"B" "A" "A" "D" "D" "D" "D" "D" "D" "A" "C" "B" "B" "C" "C" "C" "A" "C" "A" "C" "B" "C" "D" "C" "B" "B" "I" "A" "D" "A" "A" "D" "C" "C" "B" "B" "B" "D" "B" "A" "J" "B" "C" "C" "E" "A" "B" "A" "C" "B" "A" "E" "A" "C" "A" "C"
"D" "A" "A" "A" "C" "B" "B" "A" "A" "B" "A" "A" "A" "B" "A" "C" "C" "B" "C" "A" "C" "A" "D" "B" "B" "B" "F" "A" "B" "B" "B" "B" "B" "B" "A" "B" "B" "C" "C" "D" "J" "A" "B" "B" "B" "D" "C" "A" "C" "B" "B" "A" "C" "C" "B" "F"
"D" "A" "A" "C" "B" "C" "B" "B" "C" "C" "B" "B" "C" "C" "C" "A" "C" "A" "C" "A" "B" "A" "A" "B" "B" "B" "K" "A" "C" "B" "C" "C" "C" "A" "B" "A" "C" "D" "C" "D" "J" "A" "A" "C" "B" "C" "A" "B" "C" "A" "F" "D" "B" "A" "B" "D"
"B" "A" "A" "B" "D" "C" "D" "C" "C" "A" "C" "A" "C" "A" "C" "C" "C" "A" "B" "B" "B" "A" "D" "B" "B" "E" "I" "A" "B" "C" "A" "B" "B" "A" "A" "A" "A" "D" "C" "D" "E" "B" "B" "B" "A" "B" "A" "B" "C" "C" "A" "C" "C" "C" "A" "C"
"B" "A" "A" "B" "B" "D" "A" "C" "B" "A" "C" "C" "C" "B" "C" "A" "C" "A" "A" "C" "C" "A" "D" "B" "B" "B" "H" "A" "B" "B" "A" "A" "C" "B" "A" "C" "B" "B" "C" "B" "J" "B" "A" "C" "B" "D" "A" "B" "C" "B" "F" "E" "C" "C" "B" "A"
"D" "A" "A" "B" "D" "D" "B" "D" "B" "A" "A" "B" "C" "C" "B" "A" "C" "C" "A" "B" "A" "A" "D" "B" "A" "A" "G" "B" "D" "B" "C" "C" "C" "B" "A" "A" "D" "B" "B" "A" "A" "C" "C" "A" "G" "B" "B" "A" "C" "C" "F" "C" "B" "A" "A" "C"
"D" "B" "A" "A" "B" "D" "B" "D" "C" "C" "A" "A" "B" "C" "C" "B" "C" "B" "A" "A" "C" "A" "C" "B" "B" "B" "G" "B" "D" "C" "C" "B" "C" "A" "B" "A" "B" "D" "A" "D" "G" "B" "C" "A" "C" "B" "B" "A" "A" "C" "F" "E" "B" "C" "A" "B"
"C" "D" "A" "D" "D" "D" "C" "D" "C" "C" "C" "B" "C" "A" "B" "A" "C" "A" "B" "C" "B" "A" "D" "B" "B" "D" "J" "A" "C" "B" "C" "D" "A" "B" "A" "C" "D" "D" "A" "D" "K" "B" "A" "B" "F" "C" "A" "B" "A" "A" "F" "B" "A" "C" "B" "C"
"D" "A" "D" "C" "A" "A" "D" "A" "B" "B" "A" "B" "B" "A" "C" "D" "C" "C" "B" "C" "B" "A" "D" "B" "B" "B" "I" "A" "A" "C" "B" "D" "A" "C" "C" "C" "C" "B" "C" "C" "H" "C" "B" "C" "G" "B" "A" "B" "C" "C" "C" "D" "D" "C" "B" "E"
"C" "A" "D" "A" "B" "A" "B" "A" "B" "A" "B" "B" "C" "C" "C" "C" "C" "A" "A" "B" "A" "A" "C" "C" "B" "A" "I" "A" "B" "A" "B" "B" "B" "B" "B" "C" "B" "A" "B" "D" "F" "B" "B" "C" "A" "B" "C" "C" "C" "B" "E" "A" "A" "B" "B" "B"
"A" "A" "A" "A" "D" "C" "C" "D" "D" "C" "B" "C" "B" "A" "B" "C" "C" "C" "A" "B" "A" "A" "C" "A" "B" "A" "C" "B" "D" "C" "C" "B" "C" "A" "C" "A" "C" "C" "B" "B" "G" "B" "C" "C" "F" "C" "B" "A" "B" "A" "E" "E" "B" "A" "A" "B"
"D" "A" "D" "C" "B" "D" "B" "A" "D" "C" "C" "B" "B" "C" "C" "D" "C" "A" "C" "B" "C" "A" "D" "C" "A" "B" "B" "A" "B" "B" "C" "D" "A" "B" "A" "C" "B" "A" "A" "B" "C" "B" "B" "B" "C" "B" "C" "B" "C" "B" "A" "D" "C" "C" "B" "C"
"D" "A" "A" "B" "C" "C" "A" "C" "C" "B" "C" "B" "C" "B" "C" "A" "C" "A" "A" "C" "C" "A" "D" "B" "B" "B" "J" "A" "C" "C" "C" "E" "A" "B" "C" "A" "E" "B" "A" "A" "K" "A" "A" "C" "B" "B" "A" "B" "B" "A" "B" "D" "D" "C" "B" "D"
"C" "A" "A" "A" "D" "D" "D" "A" "C" "B" "A" "B" "C" "C" "A" "B" "C" "A" "A" "A" "A" "A" "D" "C" "B" "A" "E" "A" "C" "A" "A" "B" "C" "B" "C" "B" "C" "D" "B" "D" "K" "B" "A" "C" "F" "B" "B" "B" "D" "B" "C" "D" "A" "D" "B" "C"
"C" "A" "A" "C" "B" "C" "B" "B" "D" "B" "A" "B" "A" "A" "C" "B" "C" "B" "A" "A" "A" "A" "B" "B" "B" "B" "I" "B" "C" "B" "C" "B" "C" "A" "C" "B" "A" "A" "B" "A" "C" "B" "C" "C" "D" "C" "B" "C" "A" "A" "F" "D" "A" "A" "A" "D"
"A" "B" "A" "C" "A" "A" "B" "A" "B" "A" "B" "A" "A" "B" "A" "A" "C" "C" "C" "B" "C" "A" "D" "A" "B" "A" "I" "B" "B" "C" "C" "C" "C" "B" "C" "A" "B" "D" "D" "A" "J" "B" "C" "A" "F" "C" "B" "A" "A" "C" "G" "E" "C" "A" "A" "C"
"A" "A" "A" "D" "B" "C" "C" "B" "B" "B" "C" "B" "C" "A" "B" "D" "C" "A" "B" "C" "C" "A" "D" "B" "B" "B" "J" "A" "C" "A" "A" "B" "D" "B" "A" "B" "A" "D" "C" "D" "H" "A" "A" "C" "B" "B" "C" "B" "C" "A" "F" "D" "A" "A" "A" "D"
"B" "A" "A" "C" "D" "B" "B" "C" "A" "A" "C" "B" "A" "A" "C" "B" "C" "A" "C" "B" "C" "A" "B" "C" "A" "B" "C" "A" "B" "B" "B" "C" "A" "C" "A" "A" "A" "B" "D" "C" "C" "C" "C" "C" "F" "B" "B" "A" "C" "A" "D" "D" "A" "C" "A" "D"
"D" "A" "A" "B" "B" "C" "D" "A" "D" "C" "B" "A" "A" "C" "A" "A" "A" "A" "C" "A" "A" "A" "D" "B" "B" "C" "G" "A" "D" "C" "A" "B" "A" "C" "C" "C" "B" "D" "D" "C" "F" "A" "C" "B" "E" "A" "B" "A" "D" "A" "C" "E" "A" "C" "A" "B"
"D" "A" "A" "B" "D" "D" "C" "C" "C" "A" "C" "B" "C" "B" "B" "C" "C" "B" "B" "B" "C" "A" "D" "B" "B" "B" "D" "A" "D" "B" "B" "C" "C" "A" "C" "A" "C" "A" "A" "D" "C" "A" "C" "C" "B" "A" "B" "A" "A" "A" "E" "D" "A" "A" "A" "B"
"D" "A" "A" "B" "C" "C" "A" "B" "D" "B" "C" "B" "C" "B" "C" "A" "C" "C" "B" "C" "B" "A" "D" "A" "A" "A" "D" "B" "C" "A" "B" "F" "A" "B" "A" "C" "D" "C" "B" "D" "C" "A" "C" "A" "F" "C" "A" "A" "C" "C" "E" "D" "B" "D" "A" "D"
"D" "A" "A" "A" "C" "A" "D" "B" "C" "B" "A" "C" "A" "B" "C" "D" "A" "A" "A" "A" "A" "A" "D" "C" "B" "B" "J" "A" "C" "C" "C" "B" "A" "B" "C" "A" "C" "A" "D" "D" "H" "B" "A" "B" "C" "B" "A" "B" "A" "B" "F" "E" "B" "D" "B" "D"
"A" "A" "A" "C" "B" "A" "C" "B" "A" "B" "B" "B" "C" "C" "A" "C" "C" "A" "C" "A" "A" "A" "D" "A" "B" "B" "I" "A" "D" "A" "A" "E" "D" "C" "C" "A" "E" "D" "C" "A" "J" "B" "A" "C" "B" "B" "C" "A" "C" "B" "F" "D" "A" "D" "B" "C"
"C" "A" "D" "B" "B" "A" "C" "B" "D" "C" "B" "B" "C" "A" "C" "C" "C" "C" "C" "B" "A" "A" "D" "C" "B" "A" "H" "B" "B" "B" "B" "B" "B" "A" "A" "A" "B" "B" "C" "D" "E" "B" "C" "C" "B" "C" "B" "A" "D" "C" "D" "B" "A" "A" "A" "B"
"B" "B" "A" "A" "B" "A" "B" "C" "D" "A" "C" "C" "C" "C" "B" "C" "C" "A" "A" "C" "A" "A" "C" "B" "B" "B" "I" "A" "C" "B" "C" "E" "C" "B" "B" "B" "B" "D" "C" "D" "G" "C" "A" "C" "D" "D" "C" "B" "C" "C" "F" "E" "A" "A" "B" "D"
"C" "A" "D" "B" "B" "A" "D" "C" "B" "B" "B" "C" "C" "C" "C" "D" "C" "C" "A" "A" "B" "A" "D" "B" "B" "B" "D" "B" "D" "B" "A" "B" "C" "B" "A" "B" "A" "D" "A" "C" "J" "B" "C" "C" "D" "A" "B" "A" "C" "B" "F" "E" "C" "A" "A" "C"
"D" "A" "A" "A" "D" "B" "C" "A" "D" "B" "B" "A" "A" "C" "A" "A" "C" "A" "A" "B" "A" "A" "D" "C" "A" "A" "I" "A" "D" "B" "A" "E" "D" "B" "A" "A" "A" "D" "D" "D" "C" "A" "A" "C" "B" "B" "A" "B" "A" "B" "F" "D" "C" "D" "B" "D"
"C" "A" "A" "B" "B" "C" "B" "C" "B" "A" "B" "B" "C" "C" "B" "A" "C" "C" "B" "B" "B" "A" "D" "B" "C" "B" "I" "A" "B" "B" "B" "C" "B" "C" "C" "B" "C" "D" "D" "D" "H" "B" "B" "B" "A" "B" "A" "A" "D" "C" "A" "B" "A" "C" "A" "D"
"A" "C" "A" "A" "B" "C" "B" "B" "B" "B" "A" "A" "C" "A" "C" "A" "C" "C" "C" "A" "C" "A" "D" "C" "A" "B" "D" "B" "D" "B" "B" "A" "C" "B" "A" "C" "D" "B" "C" "A" "K" "C" "C" "C" "C" "C" "B" "A" "A" "B" "E" "D" "A" "D" "A" "F"
