"C" "C" "B" "D" "B" "B" "A" "B" "A" "B" "B" "A" "C" "A" "B" "C" "A" "C" "A" "C" "A" "A" "C" "C" "A" "B" "E" "A" "B" "C" "A" "D" "B" "C" "A" "B" "B" "C" "D" "D" "H" "A" "C" "A" "E" "A" "B" "C" "D" "B" "A" "E" "D" "C" "B" "A"
"D" "B" "B" "C" "D" "A" "C" "A" "D" "B" "B" "B" "C" "A" "B" "A" "A" "B" "B" "B" "B" "B" "C" "C" "C" "F" "G" "B" "B" "C" "B" "C" "C" "C" "C" "A" "A" "C" "D" "B" "E" "C" "C" "A" "G" "D" "A" "C" "D" "C" "G" "B" "D" "D" "A" "D"
"D" "D" "D" "D" "B" "C" "B" "A" "B" "B" "A" "A" "B" "C" "C" "D" "A" "B" "A" "B" "A" "B" "B" "C" "C" "C" "K" "B" "B" "C" "C" "F" "D" "B" "A" "B" "E" "C" "D" "D" "E" "C" "C" "B" "A" "A" "A" "C" "C" "B" "D" "E" "D" "D" "A" "D"
"A" "D" "C" "D" "D" "A" "C" "B" "D" "B" "A" "C" "B" "A" "A" "D" "C" "C" "B" "A" "C" "B" "B" "C" "A" "A" "C" "B" "B" "C" "B" "E" "B" "C" "A" "B" "E" "C" "A" "D" "F" "A" "A" "C" "E" "A" "C" "C" "D" "C" "G" "A" "C" "B" "B" "A"
"D" "C" "D" "A" "A" "C" "B" "B" "D" "B" "A" "C" "B" "C" "A" "B" "C" "C" "B" "B" "B" "B" "B" "C" "C" "B" "C" "B" "D" "C" "C" "F" "C" "C" "A" "A" "C" "C" "B" "D" "I" "A" "A" "B" "D" "A" "C" "C" "B" "C" "C" "A" "C" "A" "A" "A"
"B" "C" "B" "D" "B" "D" "D" "D" "B" "B" "A" "A" "C" "B" "C" "D" "A" "B" "C" "C" "C" "C" "B" "C" "C" "F" "J" "B" "B" "C" "C" "C" "C" "C" "B" "A" "E" "C" "C" "B" "J" "C" "B" "B" "C" "A" "A" "B" "C" "A" "A" "A" "B" "D" "B" "E"
"B" "C" "D" "D" "B" "B" "D" "C" "B" "B" "C" "C" "B" "B" "C" "D" "A" "C" "A" "B" "C" "A" "C" "C" "A" "B" "K" "A" "B" "C" "C" "C" "A" "C" "C" "B" "E" "C" "A" "D" "H" "A" "C" "B" "F" "D" "A" "C" "A" "C" "C" "B" "B" "D" "B" "D"
"B" "C" "D" "B" "A" "B" "A" "A" "D" "A" "C" "A" "B" "C" "C" "B" "C" "B" "A" "A" "C" "A" "C" "C" "C" "B" "C" "B" "B" "B" "C" "F" "D" "B" "C" "C" "E" "C" "C" "C" "K" "A" "B" "C" "C" "C" "A" "A" "A" "A" "A" "E" "C" "D" "B" "E"
"D" "A" "D" "A" "D" "A" "C" "B" "D" "B" "B" "B" "C" "A" "C" "B" "C" "C" "C" "B" "C" "A" "C" "C" "C" "C" "B" "B" "B" "C" "B" "A" "B" "A" "C" "C" "B" "A" "C" "B" "I" "C" "A" "C" "G" "A" "A" "A" "C" "C" "F" "B" "C" "A" "A" "D"
"D" "A" "D" "A" "D" "A" "C" "B" "D" "A" "C" "C" "C" "A" "A" "B" "C" "C" "B" "C" "A" "A" "C" "C" "C" "F" "E" "B" "B" "B" "B" "B" "C" "B" "A" "A" "B" "C" "B" "D" "E" "C" "B" "C" "C" "B" "A" "A" "C" "C" "C" "E" "D" "D" "B" "E"
