V1,V2,V3,V4,,pre,rec,dist,f
0.972972973,0.807850708,0.194040745,0.882756573,mean,0.967531532,0.807625804,0.196884332,0.880294125
0.972972973,0.802927928,0.198916721,0.879809423,std,0.034224874,0.034800314,0.040913462,0.034007881
1,0.814253539,0.185746461,0.897618245,lower,0.960823456,0.800804943,0.188865293,0.87362858
0.972972973,0.806788932,0.195092227,0.882122292,upper,0.974239607,0.814446666,0.20490337,0.88695967
0.972972973,0.79456242,0.207207769,0.874763541,,,,,
0.972972973,0.815797941,0.18617427,0.887480159,,,,,
0.972972973,0.793211068,0.20854765,0.873943953,,,,,
1,0.802445302,0.197554698,0.890396287,,,,,
1,0.857239382,0.142760618,0.923132893,,,,,
0.972972973,0.812580438,0.189358265,0.885572842,,,,,
0.972972973,0.810456885,0.191460316,0.884310243,,,,,
0.972972973,0.819240669,0.182768695,0.889513405,,,,,
0.972972973,0.814317889,0.187638766,0.886603646,,,,,
0.972972973,0.813127413,0.188816906,0.885897571,,,,,
0.972972973,0.816731017,0.185251128,0.888031999,,,,,
0.972972973,0.802091377,0.199745546,0.879306975,,,,,
0.972972973,0.824163449,0.177901526,0.892407222,,,,,
0.972972973,0.815604891,0.186365277,0.887365914,,,,,
0.972972973,0.828893179,0.173228186,0.895172663,,,,,
0.959459459,0.835649936,0.169276339,0.893285098,,,,,
1,0.83989704,0.16010296,0.912982652,,,,,
1,0.847779923,0.152220077,0.917620018,,,,,
1,0.839414414,0.160585586,0.912697441,,,,,
1,0.851640927,0.148359073,0.919876974,,,,,
1,0.846653797,0.153346203,0.916959961,,,,,
1,0.847136422,0.152863578,0.917242941,,,,,
1,0.851640927,0.148359073,0.919876974,,,,,
1,0.842792793,0.157207207,0.914690785,,,,,
1,0.833783784,0.166216216,0.90935888,,,,,
1,0.830405405,0.169594595,0.907345884,,,,,
0.972972973,0.796685972,0.205102546,0.876048937,,,,,
0.959459459,0.787033462,0.216790871,0.86473491,,,,,
0.972972973,0.787033462,0.214674653,0.870181236,,,,,
0.972972973,0.812290862,0.18964488,0.885400846,,,,,
0.972972973,0.804407979,0.197450497,0.88069721,,,,,
0.972972973,0.804407979,0.197450497,0.88069721,,,,,
0.972972973,0.804407979,0.197450497,0.88069721,,,,,
0.972972973,0.793146718,0.208611458,0.873904894,,,,,
0.959459459,0.790894466,0.212999201,0.867060274,,,,,
0.972972973,0.804407979,0.197450497,0.88069721,,,,,
0.891891892,0.749227799,0.273082514,0.814358883,,,,,
0.891891892,0.739092664,0.282418131,0.80833476,,,,,
0.891891892,0.723326898,0.297044388,0.798813634,,,,,
0.891891892,0.697425997,0.321307314,0.782761707,,,,,
0.945945946,0.763867439,0.242240433,0.845211897,,,,,
0.90990991,0.744723295,0.27070726,0.819071084,,,,,
0.882882883,0.721074646,0.302515739,0.793817107,,,,,
0.891891892,0.714317889,0.305453157,0.793289072,,,,,
0.878378378,0.716570142,0.308422281,0.789266501,,,,,
0.891891892,0.730083655,0.290761408,0.802916781,,,,,
0.891891892,0.781628057,0.243667127,0.833127477,,,,,
0.918918919,0.781177606,0.233361054,0.844468383,,,,,
0.945945946,0.792438867,0.214484182,0.862414729,,,,,
0.891891892,0.758655084,0.264451757,0.819895862,,,,,
0.891891892,0.749646075,0.272698462,0.814605899,,,,,
0.918918919,0.79469112,0.220739389,0.852302085,,,,,
0.905405405,0.774420849,0.244610078,0.834806363,,,,,
0.918918919,0.760907336,0.252466718,0.832481508,,,,,
0.972972973,0.798519949,0.203284705,0.877156571,,,,,
0.945945946,0.810456885,0.197100058,0.872975597,,,,,
1,0.82493565,0.17506435,0.904070946,,,,,
0.972972973,0.806016731,0.195857011,0.881660521,,,,,
0.972972973,0.813899614,0.188052689,0.886355673,,,,,
0.972972973,0.812290862,0.18964488,0.885400846,,,,,
0.972972973,0.824034749,0.178028733,0.892331769,,,,,
0.972972973,0.817277992,0.184710022,0.888355223,,,,,
1,0.824034749,0.175965251,0.903529661,,,,,
0.972972973,0.793146718,0.208611458,0.873904894,,,,,
0.972972973,0.811647362,0.190281835,0.885018433,,,,,
0.972972973,0.798777349,0.203029593,0.877311845,,,,,
1,0.849453024,0.150546976,0.918599189,,,,,
1,0.846718147,0.153281853,0.9169977,,,,,
0.972972973,0.819465894,0.182545949,0.889646149,,,,,
0.972972973,0.828217503,0.173895619,0.894778489,,,,,
1,0.860714286,0.139285714,0.925143954,,,,,
0.972972973,0.82532175,0.176756757,0.893085818,,,,,
1,0.847200772,0.152799228,0.917280661,,,,,
1,0.848487773,0.151512227,0.918034499,,,,,
0.959459459,0.828056628,0.176658027,0.88892824,,,,,
1,0.849388674,0.150611326,0.918561562,,,,,
1,0.835649936,0.164350064,0.910467644,,,,,
0.972972973,0.796235521,0.205549077,0.875776535,,,,,
0.972972973,0.783848134,0.217835005,0.868230745,,,,,
1,0.827927928,0.172072072,0.905864958,,,,,
1,0.847554698,0.152445302,0.917488071,,,,,
1,0.822297297,0.177702703,0.902484242,,,,,
0.972972973,0.808622909,0.193276101,0.883217394,,,,,
0.994594595,0.817631918,0.182448173,0.897473114,,,,,
0.967567568,0.796235521,0.20632941,0.873580131,,,,,
0.972972973,0.804761905,0.197099909,0.880909288,,,,,
0.994594595,0.843114543,0.156978549,0.912611414,,,,,
0.94954955,0.812226512,0.194432844,0.875536154,,,,,
0.989189189,0.846492921,0.153887286,0.912294827,,,,,
0.963963964,0.783429858,0.219547767,0.864370861,,,,,
0.994594595,0.843758044,0.156335432,0.912988261,,,,,
0.990990991,0.819465894,0.180758749,0.897103185,,,,,
1,0.850997426,0.149002574,0.919501469,,,,,
0.994594595,0.833622909,0.166464876,0.907022099,,,,,
0.990990991,0.82960103,0.170636958,0.903142645,,,,,
0.967567568,0.823970399,0.178992411,0.89001411,,,,,
