V1,V2,V3,V4,,pre,rec,dis,f
1,0.91470399,0.08529601,0.955452116,mean,0.988175676,0.896774131,0.104883536,0.940186137
0.972972973,0.891055341,0.112247044,0.930214158,std,0.017323186,0.021231571,0.023316059,0.017858238
0.972972973,0.876576577,0.126347939,0.92226274,lower,0.984780331,0.892612743,0.100313588,0.936685923
0.972972973,0.873198198,0.129650134,0.920389464,upper,0.99157102,0.900935519,0.109453483,0.943686352
1,0.91036036,0.08963964,0.953077104,,,,,
0.972972973,0.876576577,0.126347939,0.92226274,,,,,
0.972972973,0.876576577,0.126347939,0.92226274,,,,,
1,0.903603604,0.096396396,0.949361098,,,,,
0.972972973,0.876576577,0.126347939,0.92226274,,,,,
1,0.911325611,0.088674389,0.953605818,,,,,
0.972972973,0.891409266,0.111903564,0.93040698,,,,,
0.972972973,0.894787645,0.108628265,0.932243872,,,,,
1,0.921814672,0.078185328,0.959316926,,,,,
1,0.926319176,0.073680824,0.961750459,,,,,
1,0.926319176,0.073680824,0.961750459,,,,,
0.972972973,0.894787645,0.108628265,0.932243872,,,,,
1,0.926319176,0.073680824,0.961750459,,,,,
1,0.908301158,0.091698842,0.951947395,,,,,
1,0.926319176,0.073680824,0.961750459,,,,,
1,0.918436293,0.081563707,0.957484277,,,,,
1,0.930823681,0.069176319,0.964172638,,,,,
1,0.937580438,0.062419562,0.967784789,,,,,
1,0.937580438,0.062419562,0.967784789,,,,,
1,0.937580438,0.062419562,0.967784789,,,,,
0.972972973,0.910553411,0.093440637,0.940728908,,,,,
1,0.933075933,0.066924067,0.965379494,,,,,
1,0.933075933,0.066924067,0.965379494,,,,,
1,0.933075933,0.066924067,0.965379494,,,,,
1,0.933075933,0.066924067,0.965379494,,,,,
1,0.91956242,0.08043758,0.958095877,,,,,
1,0.899903475,0.100096525,0.947314942,,,,,
1,0.89539897,0.10460103,0.944813186,,,,,
1,0.886389961,0.113610039,0.939773832,,,,,
1,0.899903475,0.100096525,0.947314942,,,,,
1,0.89539897,0.10460103,0.944813186,,,,,
1,0.89539897,0.10460103,0.944813186,,,,,
1,0.890894466,0.109105534,0.942299512,,,,,
1,0.886389961,0.113610039,0.939773832,,,,,
1,0.886389961,0.113610039,0.939773832,,,,,
1,0.890894466,0.109105534,0.942299512,,,,,
1,0.917535393,0.082464607,0.95699448,,,,,
1,0.917535393,0.082464607,0.95699448,,,,,
1,0.90965251,0.09034749,0.952689042,,,,,
1,0.910778636,0.089221364,0.953306279,,,,,
0.986486486,0.91029601,0.090716155,0.946861028,,,,,
1,0.907400257,0.092599743,0.95145238,,,,,
1,0.905791506,0.094208494,0.950567261,,,,,
1,0.917535393,0.082464607,0.95699448,,,,,
1,0.914157014,0.085842986,0.955153634,,,,,
0.986486486,0.914157014,0.086900134,0.948945492,,,,,
0.972972973,0.871943372,0.130877653,0.919691928,,,,,
0.918918919,0.833655084,0.185053433,0.874212931,,,,,
1,0.867438867,0.132561133,0.929014473,,,,,
0.972972973,0.860682111,0.141915237,0.913389262,,,,,
0.939189189,0.851673102,0.160308526,0.893292772,,,,,
1,0.876447876,0.123552124,0.934156379,,,,,
0.945945946,0.865186615,0.145246306,0.903765731,,,,,
0.945945946,0.856177606,0.153644791,0.898825982,,,,,
0.945945946,0.842664093,0.166362341,0.891323055,,,,,
0.945945946,0.851673102,0.15786928,0.89633754,,,,,
0.972972973,0.881885457,0.121167262,0.925192673,,,,,
1,0.898777349,0.101222651,0.946690616,,,,,
0.972972973,0.885263835,0.117876409,0.92704846,,,,,
0.972972973,0.881885457,0.121167262,0.925192673,,,,,
0.972972973,0.898777349,0.104768723,0.934404615,,,,,
0.972972973,0.896074646,0.107382212,0.932941894,,,,,
0.972972973,0.885263835,0.117876409,0.92704846,,,,,
1,0.898777349,0.101222651,0.946690616,,,,,
0.972972973,0.902638353,0.10104331,0.936486904,,,,,
0.972972973,0.885263835,0.117876409,0.92704846,,,,,
1,0.888095238,0.111904762,0.9407314,,,,,
1,0.888095238,0.111904762,0.9407314,,,,,
1,0.888095238,0.111904762,0.9407314,,,,,
1,0.884234234,0.115765766,0.938560842,,,,,
1,0.876833977,0.123166023,0.934375643,,,,,
1,0.888095238,0.111904762,0.9407314,,,,,
1,0.888095238,0.111904762,0.9407314,,,,,
1,0.883590734,0.116409266,0.938198217,,,,,
1,0.885617761,0.114382239,0.939339647,,,,,
1,0.880212355,0.119787645,0.936290364,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
1,0.918886744,0.081113256,0.957729003,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
1,0.918886744,0.081113256,0.957729003,,,,,
0.972972973,0.895720721,0.10772478,0.932750033,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
0.972972973,0.891859717,0.111466502,0.930652283,,,,,
1,0.907400257,0.092599743,0.95145238,,,,,
0.972972973,0.88037323,0.122641853,0.924359796,,,,,
1,0.889382239,0.110617761,0.941452948,,,,,
0.986486486,0.889382239,0.111440136,0.935421065,,,,,
1,0.907400257,0.092599743,0.95145238,,,,,
1,0.907400257,0.092599743,0.95145238,,,,,
1,0.900643501,0.099356499,0.94772481,,,,,
1,0.875868726,0.124131274,0.933827313,,,,,
1,0.907400257,0.092599743,0.95145238,,,,,
1,0.889382239,0.110617761,0.941452948,,,,,
