V1,V2,V3,V4,,pre,rec,dist,f
0.972972973,0.867213642,0.135508955,0.917054204,mean,0.982166667,0.913521557,0.089910365,0.946403375
0.972972973,0.867213642,0.135508955,0.917054204,std,0.024793927,0.036668474,0.04085448,0.028888984
1,0.896814672,0.103185328,0.945600733,lower,0.977307057,0.906334536,0.081902887,0.940741134
0.959459459,0.868564994,0.137545252,0.911752464,upper,0.987026276,0.920708578,0.097917844,0.952065616
0.963963964,0.857947233,0.146552327,0.90787105,,,,,
0.972972973,0.868564994,0.134185026,0.917809222,,,,,
0.972972973,0.853700129,0.148775376,0.909442583,,,,,
1,0.870109395,0.129890605,0.930543847,,,,,
1,0.930855856,0.069144144,0.964189899,,,,,
0.972972973,0.868564994,0.134185026,0.917809222,,,,,
0.97972973,0.910553411,0.091714646,0.943875791,,,,,
1,0.902992278,0.097007722,0.949023586,,,,,
1,0.90997426,0.09002574,0.952865469,,,,,
0.972972973,0.906756757,0.097081217,0.938698584,,,,,
1,0.924388674,0.075611326,0.960708912,,,,,
1,0.9002574,0.0997426,0.947511006,,,,,
1,0.913610039,0.086389961,0.954854981,,,,,
0.972972973,0.903861004,0.099865744,0.937144509,,,,,
1,0.924388674,0.075611326,0.960708912,,,,,
0.977477477,0.935006435,0.068785373,0.955770373,,,,,
1,0.959942085,0.040057915,0.979561684,,,,,
1,0.967824968,0.032175032,0.983649444,,,,,
1,0.967824968,0.032175032,0.983649444,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.959942085,0.040057915,0.979561684,,,,,
1,0.967664093,0.032335907,0.983566348,,,,,
1,0.967824968,0.032175032,0.983649444,,,,,
1,0.959942085,0.040057915,0.979561684,,,,,
1,0.959942085,0.040057915,0.979561684,,,,,
1,0.947554698,0.052445302,0.973071204,,,,,
1,0.905630631,0.094369369,0.950478667,,,,,
0.972972973,0.912870013,0.091225516,0.941963734,,,,,
1,0.912870013,0.087129987,0.954450649,,,,,
1,0.920752896,0.079247104,0.958741645,,,,,
1,0.912870013,0.087129987,0.954450649,,,,,
1,0.912870013,0.087129987,0.954450649,,,,,
1,0.912870013,0.087129987,0.954450649,,,,,
1,0.910617761,0.089382239,0.953218147,,,,,
0.972972973,0.912870013,0.091225516,0.941963734,,,,,
1,0.912870013,0.087129987,0.954450649,,,,,
0.918918919,0.843371943,0.17637032,0.879526134,,,,,
0.918918919,0.846267696,0.173803806,0.881098225,,,,,
0.896396396,0.846267696,0.185384271,0.870611056,,,,,
0.918918919,0.81023166,0.206364155,0.861159474,,,,,
0.972972973,0.904826255,0.098936858,0.937663067,,,,,
0.936936937,0.88005148,0.135516041,0.907603736,,,,,
0.913513514,0.848519949,0.174430841,0.879818069,,,,,
0.918918919,0.822619048,0.1950337,0.86810649,,,,,
0.905405405,0.848519949,0.178589875,0.876040188,,,,,
0.918918919,0.846267696,0.173803806,0.881098225,,,,,
0.957207207,0.914221364,0.095860302,0.935220603,,,,,
0.972972973,0.856081081,0.14643468,0.910791841,,,,,
1,0.890830116,0.109169884,0.942263515,,,,,
0.977477477,0.878603604,0.123468008,0.925407023,,,,,
1,0.861711712,0.138288288,0.925719816,,,,,
1,0.923487773,0.076512227,0.96022214,,,,,
0.977477477,0.900965251,0.101563505,0.937663126,,,,,
1,0.900965251,0.099034749,0.947902915,,,,,
1,0.891924067,0.108075933,0.942875121,,,,,
1,0.900965251,0.099034749,0.947902915,,,,,
1,0.946267696,0.053732304,0.972392131,,,,,
0.972972973,0.922844273,0.08175247,0.947245878,,,,,
0.972972973,0.913352638,0.090764671,0.942220608,,,,,
0.972972973,0.928635779,0.07631063,0.950287501,,,,,
0.972972973,0.944723295,0.061530272,0.95864006,,,,,
0.972972973,0.926866152,0.07796807,0.949360084,,,,,
1,0.946267696,0.053732304,0.972392131,,,,,
0.972972973,0.922844273,0.08175247,0.947245878,,,,,
0.972972973,0.909813385,0.094149274,0.940333809,,,,,
0.972972973,0.926222651,0.078571989,0.949022413,,,,,
1,0.940379665,0.059620335,0.969273882,,,,,
1,0.940379665,0.059620335,0.969273882,,,,,
0.984234234,0.939028314,0.062977026,0.961099996,,,,,
1,0.92992278,0.07007722,0.963689107,,,,,
1,0.956145431,0.043854569,0.977581131,,,,,
1,0.929761905,0.070238095,0.963602714,,,,,
1,0.938610039,0.061389961,0.968333001,,,,,
1,0.930405405,0.069594595,0.963948197,,,,,
0.977477477,0.929761905,0.073760789,0.953022814,,,,,
1,0.952059202,0.047940798,0.97544091,,,,,
1,0.932110682,0.067889318,0.964862614,,,,,
0.972972973,0.898326898,0.105203991,0.934161121,,,,,
0.967567568,0.890444015,0.11425575,0.927405144,,,,,
1,0.921492921,0.078507079,0.959142666,,,,,
1,0.921492921,0.078507079,0.959142666,,,,,
1,0.921492921,0.078507079,0.959142666,,,,,
0.972972973,0.890444015,0.11284048,0.92988093,,,,,
0.985585586,0.924227799,0.077131069,0.953921052,,,,,
0.94954955,0.885939511,0.124719859,0.916642307,,,,,
1,0.9002574,0.0997426,0.947511006,,,,,
0.989189189,0.959298584,0.042112693,0.97401462,,,,,
0.966666667,0.926801802,0.080430637,0.946314579,,,,,
0.989189189,0.953667954,0.047576592,0.971103854,,,,,
0.989189189,0.945785071,0.055282295,0.967000323,,,,,
0.989189189,0.967181467,0.034553288,0.978061543,,,,,
0.989189189,0.945785071,0.055282295,0.967000323,,,,,
1,0.967181467,0.032818533,0.983316977,,,,,
0.989189189,0.953667954,0.047576592,0.971103854,,,,,
0.989189189,0.945945946,0.055124535,0.967084403,,,,,
0.989189189,0.967181467,0.034553288,0.978061543,,,,,
