V1,V2,V3,V4,,pre,rec,dis,f
1,1,0,1,mean,0.998177928,0.966101995,0.034330088,0.981747429
1,1,0,1,std,0.007022126,0.023646913,0.024125967,0.0137293
1,0.984234234,0.015765766,0.992054484,lower,0.996801591,0.9614672,0.029601398,0.979056486
1,0.984234234,0.015765766,0.992054484,upper,0.999554265,0.97073679,0.039058777,0.984438372
1,1,0,1,,,,,
1,0.984234234,0.015765766,0.992054484,,,,,
1,0.984234234,0.015765766,0.992054484,,,,,
1,1,0,1,,,,,
1,0.984234234,0.015765766,0.992054484,,,,,
1,1,0,1,,,,,
1,0.967503218,0.032496782,0.983483238,,,,,
1,0.967503218,0.032496782,0.983483238,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,0.967503218,0.032496782,0.983483238,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,0.981016731,0.018983269,0.990417411,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,0.989382239,0.010617761,0.994662785,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,1,0,1,,,,,
1,0.991634492,0.008365508,0.995799677,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.96541184,0.03458816,0.982401572,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.975546976,0.024453024,0.98762215,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.96541184,0.03458816,0.982401572,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.973198198,0.026801802,0.986417076,,,,,
1,0.973198198,0.026801802,0.986417076,,,,,
1,0.96483269,0.03516731,0.982101626,,,,,
1,0.965958816,0.034041184,0.982684691,,,,,
0.981981982,0.973198198,0.032295287,0.977570359,,,,,
1,0.963063063,0.036936937,0.981184029,,,,,
1,0.96483269,0.03516731,0.982101626,,,,,
1,0.981981982,0.018018018,0.990909091,,,,,
1,0.973198198,0.026801802,0.986417076,,,,,
0.981081081,0.973198198,0.032806433,0.977123741,,,,,
1,0.922297297,0.077702703,0.959578207,,,,,
0.959459459,0.90990991,0.098791496,0.934028004,,,,,
1,0.931145431,0.068854569,0.964345218,,,,,
1,0.931145431,0.068854569,0.964345218,,,,,
0.966216216,0.922297297,0.084729299,0.943746072,,,,,
1,0.943532819,0.056467181,0.970946114,,,,,
1,0.922297297,0.077702703,0.959578207,,,,,
0.972972973,0.906531532,0.097297558,0.938577883,,,,,
1,0.926640927,0.073359073,0.961923848,,,,,
1,0.922297297,0.077702703,0.959578207,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.953667954,0.046332046,0.976284585,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.953667954,0.046332046,0.976284585,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.943050193,0.056949807,0.970690512,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.93018018,0.06981982,0.963827305,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
1,0.941441441,0.058558559,0.969837587,,,,,
0.972972973,0.950997426,0.055961705,0.961859697,,,,,
1,0.950997426,0.049002574,0.974883322,,,,,
1,0.992277992,0.007722008,0.996124031,,,,,
1,0.950997426,0.049002574,0.974883322,,,,,
1,0.950997426,0.049002574,0.974883322,,,,,
1,0.983494208,0.016505792,0.991678427,,,,,
1,0.950997426,0.049002574,0.974883322,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.95978121,0.04021879,0.979477918,,,,,
1,0.983494208,0.016505792,0.991678427,,,,,
1,0.962258687,0.037741313,0.980766393,,,,,
1,0.9751287,0.0248713,0.987407757,,,,,
0.983108108,0.9751287,0.030065222,0.979102147,,,,,
1,0.983494208,0.016505792,0.991678427,,,,,
1,0.983494208,0.016505792,0.991678427,,,,,
1,0.973359073,0.026640927,0.986499707,,,,,
1,0.962097812,0.037902188,0.980682824,,,,,
1,0.983494208,0.016505792,0.991678427,,,,,
1,0.9751287,0.0248713,0.987407757,,,,,
