"V1","V2","V3","V4"
0.857142857142857,0.533333333333333,0.525840032719966,0.629251700680272
0.857142857142857,0.533333333333333,0.525840032719966,0.629251700680272
0.857142857142857,0.533333333333333,0.525840032719966,0.629251700680272
0.714285714285714,0.357142857142857,0.761203874963742,0.471428571428571
0.714285714285714,0.357142857142857,0.761203874963742,0.471428571428571
0.785714285714286,0.533333333333333,0.555426715746616,0.605442176870748
0.857142857142857,0.533333333333333,0.525840032719966,0.629251700680272
0.857142857142857,0.533333333333333,0.525840032719966,0.629251700680272
0.857142857142857,0.633333333333333,0.425840032719966,0.702380952380952
0.857142857142857,0.457142857142857,0.602030508910442,0.566666666666667
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0.785714285714286,0.857142857142857,0.273459080339014,0.80952380952381
1,1,0,1
0.738095238095238,0.607142857142857,0.529236239556139,0.641496598639456
0.857142857142857,0.607142857142857,0.452030508910442,0.693877551020408
0.857142857142857,0.607142857142857,0.452030508910442,0.693877551020408
0.857142857142857,0.821428571428571,0.237744794624728,0.836734693877551
0.595238095238095,0.714285714285714,0.538252421852338,0.637755102040816
0.642857142857143,0.607142857142857,0.582632446392313,0.598639455782313
0.785714285714286,0.607142857142857,0.481617191937092,0.670068027210884
1,0.892857142857143,0.107142857142857,0.931972789115646
1,0.892857142857143,0.107142857142857,0.931972789115646
0.657142857142857,0.607142857142857,0.542875168764146,0.619047619047619
1,1,0,1
1,0.892857142857143,0.107142857142857,0.931972789115646
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0.80952380952381,0.857142857142857,0.24964955652949,0.828571428571429
0.785714285714286,0.738095238095238,0.392506699386633,0.733333333333333
1,0.880952380952381,0.119047619047619,0.923809523809524
0.642857142857143,0.714285714285714,0.475489589249456,0.666666666666667
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0.880952380952381,0.119047619047619,0.923809523809524
1,0.833333333333333,0.166666666666667,0.895238095238095
1,1,0,1
0.80952380952381,0.666666666666667,0.412231154737732,0.714285714285714
1,1,0,1
1,1,0,1
1,1,0,1
0.904761904761905,0.833333333333333,0.228703601796762,0.853061224489796
1,0.80952380952381,0.19047619047619,0.876190476190476
1,0.80952380952381,0.19047619047619,0.876190476190476
1,1,0,1
0.714285714285714,0.607142857142857,0.511203874963741,0.64625850340136
1,0.892857142857143,0.107142857142857,0.931972789115646
0.857142857142857,0.75,0.309173366053299,0.789115646258503
1,0.892857142857143,0.107142857142857,0.931972789115646
0.857142857142857,0.75,0.309173366053299,0.789115646258503
1,0.892857142857143,0.107142857142857,0.931972789115646
1,1,0,1
1,1,0,1
0.857142857142857,0.75,0.309173366053299,0.789115646258503
1,1,0,1
0.785714285714286,0.857142857142857,0.273459080339014,0.80952380952381
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0.857142857142857,1,0.142857142857143,0.904761904761905
1,1,0,1
0.785714285714286,0.857142857142857,0.273459080339014,0.80952380952381
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
0.714285714285714,0.714285714285714,0.404061017820884,0.714285714285714
0.619047619047619,0.714285714285714,0.49929911305898,0.642857142857143
0.785714285714286,0.857142857142857,0.273459080339014,0.80952380952381
0.571428571428571,0.571428571428571,0.606091526731326,0.571428571428571
1,1,0,1
0.714285714285714,0.714285714285714,0.404061017820884,0.714285714285714
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
